block	arm	status	window_d	kind	rep	ms
1	A0	REHAB	1	list	1	55.3
1	A0	REHAB	1	count	1	43.2
1	A0	REHAB	1	list	2	54.9
1	A0	REHAB	1	count	2	43.7
1	A0	REHAB	1	list	3	55.1
1	A0	REHAB	1	count	3	43.6
1	A0	REHAB	1	list	4	57
1	A0	REHAB	1	count	4	42.8
1	A0	REHAB	1	list	5	54.6
1	A0	REHAB	1	count	5	42.7
1	A0	REHAB	7	list	1	54.5
1	A0	REHAB	7	count	1	43.1
1	A0	REHAB	7	list	2	54.9
1	A0	REHAB	7	count	2	42.6
1	A0	REHAB	7	list	3	54
1	A0	REHAB	7	count	3	43
1	A0	REHAB	7	list	4	54.7
1	A0	REHAB	7	count	4	43.2
1	A0	REHAB	7	list	5	54.6
1	A0	REHAB	7	count	5	42.5
1	A0	REHAB	30	list	1	54.3
1	A0	REHAB	30	count	1	42.6
1	A0	REHAB	30	list	2	54.1
1	A0	REHAB	30	count	2	42.4
1	A0	REHAB	30	list	3	55
1	A0	REHAB	30	count	3	42.7
1	A0	REHAB	30	list	4	54.8
1	A0	REHAB	30	count	4	42.6
1	A0	REHAB	30	list	5	54.1
1	A0	REHAB	30	count	5	43.1
1	A0	REHAB	0	list	1	52.6
1	A0	REHAB	0	count	1	36.3
1	A0	REHAB	0	list	2	52.2
1	A0	REHAB	0	count	2	36.6
1	A0	REHAB	0	list	3	52.2
1	A0	REHAB	0	count	3	36.1
1	A0	REHAB	0	list	4	52.7
1	A0	REHAB	0	count	4	36.4
1	A0	REHAB	0	list	5	53.3
1	A0	REHAB	0	count	5	36.5
1	A0	DIET	1	list	1	57.7
1	A0	DIET	1	count	1	46.5
1	A0	DIET	1	list	2	58.4
1	A0	DIET	1	count	2	47.2
1	A0	DIET	1	list	3	57.8
1	A0	DIET	1	count	3	46
1	A0	DIET	1	list	4	57.7
1	A0	DIET	1	count	4	45.9
1	A0	DIET	1	list	5	58.3
1	A0	DIET	1	count	5	45.9
1	A0	DIET	7	list	1	58.6
1	A0	DIET	7	count	1	46.4
1	A0	DIET	7	list	2	58.7
1	A0	DIET	7	count	2	46.1
1	A0	DIET	7	list	3	57.1
1	A0	DIET	7	count	3	46.5
1	A0	DIET	7	list	4	58
1	A0	DIET	7	count	4	46.8
1	A0	DIET	7	list	5	58.1
1	A0	DIET	7	count	5	45.9
1	A0	DIET	30	list	1	58.3
1	A0	DIET	30	count	1	46
1	A0	DIET	30	list	2	58.1
1	A0	DIET	30	count	2	46.3
1	A0	DIET	30	list	3	58.6
1	A0	DIET	30	count	3	46.6
1	A0	DIET	30	list	4	59.3
1	A0	DIET	30	count	4	46.2
1	A0	DIET	30	list	5	57.8
1	A0	DIET	30	count	5	46.7
1	A0	DIET	0	list	1	56
1	A0	DIET	0	count	1	37.2
1	A0	DIET	0	list	2	56.1
1	A0	DIET	0	count	2	37.4
1	A0	DIET	0	list	3	55.3
1	A0	DIET	0	count	3	41.1
1	A0	DIET	0	list	4	56.1
1	A0	DIET	0	count	4	38.2
1	A0	DIET	0	list	5	56.3
1	A0	DIET	0	count	5	38.7
1	A0	ADVANCED	1	list	1	67.1
1	A0	ADVANCED	1	count	1	55.1
1	A0	ADVANCED	1	list	2	66.8
1	A0	ADVANCED	1	count	2	55.6
1	A0	ADVANCED	1	list	3	66.4
1	A0	ADVANCED	1	count	3	54.9
1	A0	ADVANCED	1	list	4	66.2
1	A0	ADVANCED	1	count	4	54.3
1	A0	ADVANCED	1	list	5	66.2
1	A0	ADVANCED	1	count	5	54.7
1	A0	ADVANCED	7	list	1	66.5
1	A0	ADVANCED	7	count	1	55
1	A0	ADVANCED	7	list	2	66.7
1	A0	ADVANCED	7	count	2	54.8
1	A0	ADVANCED	7	list	3	66.8
1	A0	ADVANCED	7	count	3	55.3
1	A0	ADVANCED	7	list	4	67
1	A0	ADVANCED	7	count	4	55.5
1	A0	ADVANCED	7	list	5	66.3
1	A0	ADVANCED	7	count	5	54.9
1	A0	ADVANCED	30	list	1	67.1
1	A0	ADVANCED	30	count	1	55.6
1	A0	ADVANCED	30	list	2	67.6
1	A0	ADVANCED	30	count	2	55.2
1	A0	ADVANCED	30	list	3	67.2
1	A0	ADVANCED	30	count	3	55.8
1	A0	ADVANCED	30	list	4	67.4
1	A0	ADVANCED	30	count	4	55.9
1	A0	ADVANCED	30	list	5	67.4
1	A0	ADVANCED	30	count	5	55.8
1	A0	ADVANCED	0	list	1	63
1	A0	ADVANCED	0	count	1	41.1
1	A0	ADVANCED	0	list	2	63.3
1	A0	ADVANCED	0	count	2	40.7
1	A0	ADVANCED	0	list	3	62
1	A0	ADVANCED	0	count	3	41.3
1	A0	ADVANCED	0	list	4	62.8
1	A0	ADVANCED	0	count	4	41.1
1	A0	ADVANCED	0	list	5	62.9
1	A0	ADVANCED	0	count	5	41.7
1	A0	BEGINNER	1	list	1	96.5
1	A0	BEGINNER	1	count	1	85.4
1	A0	BEGINNER	1	list	2	97.1
1	A0	BEGINNER	1	count	2	86.2
1	A0	BEGINNER	1	list	3	96
1	A0	BEGINNER	1	count	3	85.4
1	A0	BEGINNER	1	list	4	95.8
1	A0	BEGINNER	1	count	4	85.1
1	A0	BEGINNER	1	list	5	95.8
1	A0	BEGINNER	1	count	5	85.3
1	A0	BEGINNER	7	list	1	96.9
1	A0	BEGINNER	7	count	1	85.2
1	A0	BEGINNER	7	list	2	97.3
1	A0	BEGINNER	7	count	2	85.4
1	A0	BEGINNER	7	list	3	97.8
1	A0	BEGINNER	7	count	3	85.5
1	A0	BEGINNER	7	list	4	97.3
1	A0	BEGINNER	7	count	4	84.8
1	A0	BEGINNER	7	list	5	97.5
1	A0	BEGINNER	7	count	5	84.4
1	A0	BEGINNER	30	list	1	99.7
1	A0	BEGINNER	30	count	1	85.2
1	A0	BEGINNER	30	list	2	100
1	A0	BEGINNER	30	count	2	85.9
1	A0	BEGINNER	30	list	3	100
1	A0	BEGINNER	30	count	3	85.8
1	A0	BEGINNER	30	list	4	99.2
1	A0	BEGINNER	30	count	4	86
1	A0	BEGINNER	30	list	5	100
1	A0	BEGINNER	30	count	5	86
1	A0	BEGINNER	0	list	1	89.2
1	A0	BEGINNER	0	count	1	50.7
1	A0	BEGINNER	0	list	2	85.5
1	A0	BEGINNER	0	count	2	49.9
1	A0	BEGINNER	0	list	3	85.7
1	A0	BEGINNER	0	count	3	50
1	A0	BEGINNER	0	list	4	86.6
1	A0	BEGINNER	0	count	4	50.5
1	A0	BEGINNER	0	list	5	83.7
1	A0	BEGINNER	0	count	5	50.9
1	B	REHAB	1	list	1	1.06
1	B	REHAB	1	count	1	0.913
1	B	REHAB	1	list	2	1.05
1	B	REHAB	1	count	2	0.92
1	B	REHAB	1	list	3	1.09
1	B	REHAB	1	count	3	0.915
1	B	REHAB	1	list	4	1.05
1	B	REHAB	1	count	4	0.905
1	B	REHAB	1	list	5	1.03
1	B	REHAB	1	count	5	0.915
1	B	REHAB	7	list	1	2.05
1	B	REHAB	7	count	1	5.41
1	B	REHAB	7	list	2	2.02
1	B	REHAB	7	count	2	5.61
1	B	REHAB	7	list	3	1.95
1	B	REHAB	7	count	3	5.35
1	B	REHAB	7	list	4	1.93
1	B	REHAB	7	count	4	5.3
1	B	REHAB	7	list	5	2.03
1	B	REHAB	7	count	5	5.47
1	B	REHAB	30	list	1	2.03
1	B	REHAB	30	count	1	23.1
1	B	REHAB	30	list	2	2
1	B	REHAB	30	count	2	22.3
1	B	REHAB	30	list	3	1.99
1	B	REHAB	30	count	3	22.4
1	B	REHAB	30	list	4	2.03
1	B	REHAB	30	count	4	22.9
1	B	REHAB	30	list	5	2
1	B	REHAB	30	count	5	22.6
1	B	REHAB	0	list	1	1.52
1	B	REHAB	0	count	1	36.6
1	B	REHAB	0	list	2	1.5
1	B	REHAB	0	count	2	36.9
1	B	REHAB	0	list	3	1.51
1	B	REHAB	0	count	3	36.7
1	B	REHAB	0	list	4	1.49
1	B	REHAB	0	count	4	36.5
1	B	REHAB	0	list	5	1.53
1	B	REHAB	0	count	5	37.5
1	B	DIET	1	list	1	0.578
1	B	DIET	1	count	1	0.953
1	B	DIET	1	list	2	0.561
1	B	DIET	1	count	2	0.964
1	B	DIET	1	list	3	0.563
1	B	DIET	1	count	3	0.957
1	B	DIET	1	list	4	0.552
1	B	DIET	1	count	4	0.91
1	B	DIET	1	list	5	0.552
1	B	DIET	1	count	5	1
1	B	DIET	7	list	1	0.723
1	B	DIET	7	count	1	5.43
1	B	DIET	7	list	2	0.681
1	B	DIET	7	count	2	5.49
1	B	DIET	7	list	3	0.998
1	B	DIET	7	count	3	5.37
1	B	DIET	7	list	4	0.715
1	B	DIET	7	count	4	5.42
1	B	DIET	7	list	5	0.688
1	B	DIET	7	count	5	5.42
1	B	DIET	30	list	1	0.711
1	B	DIET	30	count	1	22.7
1	B	DIET	30	list	2	0.74
1	B	DIET	30	count	2	22.7
1	B	DIET	30	list	3	0.688
1	B	DIET	30	count	3	22.8
1	B	DIET	30	list	4	0.699
1	B	DIET	30	count	4	22.8
1	B	DIET	30	list	5	0.668
1	B	DIET	30	count	5	22.4
1	B	DIET	0	list	1	0.431
1	B	DIET	0	count	1	37.4
1	B	DIET	0	list	2	0.425
1	B	DIET	0	count	2	38.1
1	B	DIET	0	list	3	0.417
1	B	DIET	0	count	3	37.5
1	B	DIET	0	list	4	0.419
1	B	DIET	0	count	4	38
1	B	DIET	0	list	5	0.43
1	B	DIET	0	count	5	38.7
1	B	ADVANCED	1	list	1	0.253
1	B	ADVANCED	1	count	1	0.97
1	B	ADVANCED	1	list	2	0.251
1	B	ADVANCED	1	count	2	1.07
1	B	ADVANCED	1	list	3	0.251
1	B	ADVANCED	1	count	3	1.03
1	B	ADVANCED	1	list	4	0.246
1	B	ADVANCED	1	count	4	0.939
1	B	ADVANCED	1	list	5	0.25
1	B	ADVANCED	1	count	5	0.966
1	B	ADVANCED	7	list	1	0.387
1	B	ADVANCED	7	count	1	5.59
1	B	ADVANCED	7	list	2	0.375
1	B	ADVANCED	7	count	2	5.69
1	B	ADVANCED	7	list	3	0.363
1	B	ADVANCED	7	count	3	5.6
1	B	ADVANCED	7	list	4	0.366
1	B	ADVANCED	7	count	4	5.52
1	B	ADVANCED	7	list	5	0.361
1	B	ADVANCED	7	count	5	5.53
1	B	ADVANCED	30	list	1	0.394
1	B	ADVANCED	30	count	1	23.2
1	B	ADVANCED	30	list	2	0.354
1	B	ADVANCED	30	count	2	22.6
1	B	ADVANCED	30	list	3	0.383
1	B	ADVANCED	30	count	3	23.2
1	B	ADVANCED	30	list	4	0.355
1	B	ADVANCED	30	count	4	23.1
1	B	ADVANCED	30	list	5	0.384
1	B	ADVANCED	30	count	5	23.3
1	B	ADVANCED	0	list	1	0.201
1	B	ADVANCED	0	count	1	40.8
1	B	ADVANCED	0	list	2	0.201
1	B	ADVANCED	0	count	2	41.3
1	B	ADVANCED	0	list	3	0.195
1	B	ADVANCED	0	count	3	40.7
1	B	ADVANCED	0	list	4	0.195
1	B	ADVANCED	0	count	4	41
1	B	ADVANCED	0	list	5	0.196
1	B	ADVANCED	0	count	5	41.9
1	B	BEGINNER	1	list	1	0.147
1	B	BEGINNER	1	count	1	0.968
1	B	BEGINNER	1	list	2	0.143
1	B	BEGINNER	1	count	2	0.964
1	B	BEGINNER	1	list	3	0.144
1	B	BEGINNER	1	count	3	0.963
1	B	BEGINNER	1	list	4	0.143
1	B	BEGINNER	1	count	4	0.958
1	B	BEGINNER	1	list	5	0.141
1	B	BEGINNER	1	count	5	1.09
1	B	BEGINNER	7	list	1	0.494
1	B	BEGINNER	7	count	1	5.78
1	B	BEGINNER	7	list	2	0.364
1	B	BEGINNER	7	count	2	5.84
1	B	BEGINNER	7	list	3	0.362
1	B	BEGINNER	7	count	3	5.65
1	B	BEGINNER	7	list	4	0.372
1	B	BEGINNER	7	count	4	5.91
1	B	BEGINNER	7	list	5	0.373
1	B	BEGINNER	7	count	5	5.65
1	B	BEGINNER	30	list	1	0.386
1	B	BEGINNER	30	count	1	24.2
1	B	BEGINNER	30	list	2	0.364
1	B	BEGINNER	30	count	2	23.8
1	B	BEGINNER	30	list	3	0.389
1	B	BEGINNER	30	count	3	24.3
1	B	BEGINNER	30	list	4	0.369
1	B	BEGINNER	30	count	4	23.9
1	B	BEGINNER	30	list	5	0.395
1	B	BEGINNER	30	count	5	24
1	B	BEGINNER	0	list	1	0.106
1	B	BEGINNER	0	count	1	50.3
1	B	BEGINNER	0	list	2	0.103
1	B	BEGINNER	0	count	2	50.9
1	B	BEGINNER	0	list	3	0.102
1	B	BEGINNER	0	count	3	49.7
1	B	BEGINNER	0	list	4	0.111
1	B	BEGINNER	0	count	4	49.9
1	B	BEGINNER	0	list	5	0.0999
1	B	BEGINNER	0	count	5	50.5
1	C	REHAB	1	list	1	0.0616
1	C	REHAB	1	count	1	0.0348
1	C	REHAB	1	list	2	0.063
1	C	REHAB	1	count	2	0.0353
1	C	REHAB	1	list	3	0.0611
1	C	REHAB	1	count	3	0.0341
1	C	REHAB	1	list	4	0.0614
1	C	REHAB	1	count	4	0.0341
1	C	REHAB	1	list	5	0.0596
1	C	REHAB	1	count	5	0.0323
1	C	REHAB	7	list	1	0.0818
1	C	REHAB	7	count	1	0.0662
1	C	REHAB	7	list	2	0.0772
1	C	REHAB	7	count	2	0.0664
1	C	REHAB	7	list	3	0.0799
1	C	REHAB	7	count	3	0.0652
1	C	REHAB	7	list	4	0.0765
1	C	REHAB	7	count	4	0.0685
1	C	REHAB	7	list	5	0.0758
1	C	REHAB	7	count	5	0.0668
1	C	REHAB	30	list	1	0.105
