block	arm	status	window_d	kind	rep	ms
1	A0	FAILED	1	list	1	213
1	A0	FAILED	1	count	1	181
1	A0	FAILED	1	list	2	214
1	A0	FAILED	1	count	2	186
1	A0	FAILED	1	list	3	214
1	A0	FAILED	1	count	3	180
1	A0	FAILED	1	list	4	211
1	A0	FAILED	1	count	4	180
1	A0	FAILED	1	list	5	211
1	A0	FAILED	1	count	5	180
1	A0	FAILED	7	list	1	228
1	A0	FAILED	7	count	1	184
1	A0	FAILED	7	list	2	217
1	A0	FAILED	7	count	2	182
1	A0	FAILED	7	list	3	212
1	A0	FAILED	7	count	3	187
1	A0	FAILED	7	list	4	212
1	A0	FAILED	7	count	4	187
1	A0	FAILED	7	list	5	218
1	A0	FAILED	7	count	5	179
1	A0	FAILED	30	list	1	214
1	A0	FAILED	30	count	1	179
1	A0	FAILED	30	list	2	215
1	A0	FAILED	30	count	2	195
1	A0	FAILED	30	list	3	211
1	A0	FAILED	30	count	3	182
1	A0	FAILED	30	list	4	211
1	A0	FAILED	30	count	4	182
1	A0	FAILED	30	list	5	219
1	A0	FAILED	30	count	5	181
1	A0	FAILED	0	list	1	216
1	A0	FAILED	0	count	1	159
1	A0	FAILED	0	list	2	208
1	A0	FAILED	0	count	2	168
1	A0	FAILED	0	list	3	205
1	A0	FAILED	0	count	3	158
1	A0	FAILED	0	list	4	206
1	A0	FAILED	0	count	4	177
1	A0	FAILED	0	list	5	206
1	A0	FAILED	0	count	5	168
1	A0	CANCELLED	1	list	1	226
1	A0	CANCELLED	1	count	1	194
1	A0	CANCELLED	1	list	2	225
1	A0	CANCELLED	1	count	2	198
1	A0	CANCELLED	1	list	3	233
1	A0	CANCELLED	1	count	3	192
1	A0	CANCELLED	1	list	4	227
1	A0	CANCELLED	1	count	4	195
1	A0	CANCELLED	1	list	5	231
1	A0	CANCELLED	1	count	5	195
1	A0	CANCELLED	7	list	1	227
1	A0	CANCELLED	7	count	1	195
1	A0	CANCELLED	7	list	2	226
1	A0	CANCELLED	7	count	2	199
1	A0	CANCELLED	7	list	3	228
1	A0	CANCELLED	7	count	3	199
1	A0	CANCELLED	7	list	4	229
1	A0	CANCELLED	7	count	4	200
1	A0	CANCELLED	7	list	5	222
1	A0	CANCELLED	7	count	5	201
1	A0	CANCELLED	30	list	1	224
1	A0	CANCELLED	30	count	1	197
1	A0	CANCELLED	30	list	2	241
1	A0	CANCELLED	30	count	2	197
1	A0	CANCELLED	30	list	3	229
1	A0	CANCELLED	30	count	3	199
1	A0	CANCELLED	30	list	4	227
1	A0	CANCELLED	30	count	4	197
1	A0	CANCELLED	30	list	5	229
1	A0	CANCELLED	30	count	5	201
1	A0	CANCELLED	0	list	1	222
1	A0	CANCELLED	0	count	1	176
1	A0	CANCELLED	0	list	2	222
1	A0	CANCELLED	0	count	2	173
1	A0	CANCELLED	0	list	3	222
1	A0	CANCELLED	0	count	3	175
1	A0	CANCELLED	0	list	4	239
1	A0	CANCELLED	0	count	4	186
1	A0	CANCELLED	0	list	5	229
1	A0	CANCELLED	0	count	5	178
1	A0	IN_PROGRESS	1	list	1	234
1	A0	IN_PROGRESS	1	count	1	204
1	A0	IN_PROGRESS	1	list	2	237
1	A0	IN_PROGRESS	1	count	2	201
1	A0	IN_PROGRESS	1	list	3	236
1	A0	IN_PROGRESS	1	count	3	201
1	A0	IN_PROGRESS	1	list	4	236
1	A0	IN_PROGRESS	1	count	4	203
1	A0	IN_PROGRESS	1	list	5	235
1	A0	IN_PROGRESS	1	count	5	215
1	A0	IN_PROGRESS	7	list	1	237
1	A0	IN_PROGRESS	7	count	1	204
