block	table	arm	ms
4	users	u0	168.8780
4	users	u2	204.7240
4	users	u1	178.9260
4	sessions	s1	206.0520
4	sessions	s0	205.4310
5	users	u2	206.9400
5	users	u0	180.5060
5	users	u1	192.1070
5	sessions	s0	262.6070
5	sessions	s1	219.7980
6	users	u1	184.8450
6	users	u0	181.9510
6	users	u2	196.5170
6	sessions	s1	215.1130
6	sessions	s0	348.6060
7	users	u0	180.4340
7	users	u1	181.3590
7	users	u2	214.7350
7	sessions	s0	299.5570
7	sessions	s1	218.5080
8	users	u2	1122.5010
8	users	u1	194.0630
8	users	u0	170.1230
8	sessions	s1	208.9300
8	sessions	s0	210.2250
9	users	u1	186.8590
9	users	u2	195.4020
9	users	u0	183.8310
9	sessions	s0	246.2370
9	sessions	s1	212.5970
10	users	u0	170.8450
10	users	u2	238.7790
10	users	u1	200.2160
10	sessions	s1	216.0420
10	sessions	s0	379.2230
11	users	u2	197.2220
11	users	u0	180.0010
11	users	u1	199.9820
11	sessions	s0	251.3550
11	sessions	s1	207.9100
12	users	u1	198.8070
12	users	u0	186.3140
12	users	u2	209.8330
12	sessions	s1	234.6120
12	sessions	s0	246.7940
13	users	u0	181.4170
13	users	u1	190.5390
13	users	u2	210.7760
13	sessions	s0	203.3810
13	sessions	s1	219.2230
14	users	u2	210.9610
14	users	u1	210.2760
14	users	u0	176.1260
14	sessions	s1	207.0310
14	sessions	s0	302.9540
15	users	u1	194.5210
15	users	u2	212.9600
15	users	u0	191.5780
15	sessions	s0	194.8350
15	sessions	s1	219.8910
