block	arm	c	slot	started_at	wall_s	k6_rc	cpu_backend_before	cpu_ai_before	cpu_nginx_before	cpu_mysql_before	cpu_backend_after	cpu_ai_after	cpu_nginx_after	cpu_mysql_after	cb_before	cb_after
1	grpc	1	0	2026-09-11T13:56:33Z	1.548	0	31374912	29474405	371111	11937429	35223438	30346174	388374	12233462	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
1	grpc	4	0	2026-09-11T13:56:50Z	1.893	0	35301511	30364025	405642	12252662	43129019	33867261	422139	12991301	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
1	grpc	8	0	2026-09-11T13:57:07Z	2.934	0	43194850	33885322	438613	13009481	53097695	41654673	455936	14321715	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
1	grpc	16	0	2026-09-11T13:57:25Z	5.900	0	53140318	41672698	473127	14340370	68803707	58947721	490119	16702286	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
1	grpc	32	0	2026-09-11T13:57:47Z	11.312	0	68865665	58966428	506745	16721361	88049794	98226916	523767	21234749	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
1	webclient	4	1	2026-09-11T13:58:47Z	2.698	0	31693166	98953809	545922	21571393	41748016	103185498	775681	22319488	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
1	webclient	8	1	2026-09-11T13:59:05Z	3.656	0	41822393	103204296	792030	22338107	53743527	112420595	1217329	23654224	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
1	webclient	16	1	2026-09-11T13:59:24Z	7.178	0	53815564	112438398	1233706	23672547	71980928	133477414	2078131	26109253	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
1	webclient	32	1	2026-09-11T13:59:47Z	13.439	0	72014214	133496006	2094970	26130717	91840620	178109139	3687901	30581327	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
1	webclient	1	1	2026-09-11T14:00:16Z	1.048	0	91905706	178153276	3705220	30600458	92649800	179033133	3769609	30851742	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
2	webclient	8	2	2026-09-11T14:01:10Z	4.209	0	32894617	179805915	3795145	31218164	49012028	188995891	4239821	32605568	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
2	webclient	16	2	2026-09-11T14:01:30Z	7.242	0	49179416	189014668	4257091	32627625	69633746	209435443	5101180	35100149	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
2	webclient	32	2	2026-09-11T14:01:53Z	13.675	0	69680973	209454067	5118066	35119582	92573888	254421126	6782549	39632670	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
2	webclient	1	2	2026-09-11T14:02:22Z	1.066	0	92613039	254440290	6799543	39653165	93369542	255391334	6867217	39930798	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
2	webclient	4	2	2026-09-11T14:02:39Z	1.704	0	93474656	255409953	6883795	39949050	95308389	259170979	7096857	40540760	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
2	grpc	16	3	2026-09-11T14:03:31Z	6.495	0	31429414	259904656	7115291	40872157	56607002	275472961	7132078	43494482	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
2	grpc	32	3	2026-09-11T14:03:53Z	5.483	0	56694650	275490749	7148498	43514566	77053254	5157228	7165429	48059878	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
2	grpc	1	3	2026-09-11T14:04:19Z	0.891	0	77125489	5175406	7182567	48079622	78942307	5941934	7198848	48341572	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
2	grpc	4	3	2026-09-11T14:04:35Z	1.502	0	79009916	5964961	7215649	48360976	83222356	9455582	7232874	49045362	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
2	grpc	8	3	2026-09-11T14:04:52Z	2.685	0	83277406	9473954	7250054	49064629	90437865	17543749	7267435	50289784	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
3	grpc	32	4	2026-09-11T14:05:46Z	11.492	0	31576499	18155422	7284054	50624038	72791223	52278780	7301259	55486833	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
3	grpc	1	4	2026-09-11T14:06:13Z	0.950	0	72913243	52297022	7318218	55506056	75248962	53170909	7335365	55787497	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
3	grpc	4	4	2026-09-11T14:06:30Z	1.500	0	75310496	53189305	7352432	55808312	79691723	56630136	7369377	56474775	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
3	grpc	8	4	2026-09-11T14:06:46Z	2.706	0	79732534	56648256	7385869	56493351	86374620	64851117	7402924	57736906	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
3	grpc	16	4	2026-09-11T14:07:05Z	5.750	0	86450584	64869134	7420201	57755306	94348842	83809608	7437387	60054625	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
3	webclient	1	5	2026-09-11T14:07:59Z	1.907	0	31940688	84445114	7462139	60367543	36089408	85501305	7532051	60671239	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
3	webclient	4	5	2026-09-11T14:08:16Z	2.508	0	36155116	85519851	7548825	60689927	44734069	89853608	7780930	61437932	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
3	webclient	8	5	2026-09-11T14:08:34Z	3.477	0	44832614	89872005	7797770	61456678	55326832	99471966	8233250	62784006	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
3	webclient	16	5	2026-09-11T14:08:53Z	7.063	0	55380773	99489495	8249674	62802644	71839275	120323438	9064437	65170141	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
3	webclient	32	5	2026-09-11T14:09:16Z	13.360	0	71919064	120343036	9081759	65189093	90717742	165245212	10693645	69652532	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
4	webclient	4	6	2026-09-11T14:10:20Z	2.861	0	31835048	165930317	10718842	69993569	42670899	170327450	10950260	70748318	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
4	webclient	8	6	2026-09-11T14:10:38Z	3.639	0	42728999	170345261	10966825	70767886	53723815	179975244	11400184	72094844	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
4	webclient	16	6	2026-09-11T14:10:57Z	7.151	0	53778409	179994037	11416891	72113822	71600625	200989804	12241505	74520523	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
4	webclient	32	6	2026-09-11T14:11:20Z	13.303	0	71638593	201008201	12258574	74539649	89268989	245692683	13850556	78968690	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
4	webclient	1	6	2026-09-11T14:11:49Z	1.030	0	89355534	245716089	13867339	78988460	90266531	246628622	13931808	79261822	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
4	grpc	8	7	2026-09-11T14:12:40Z	3.734	0	30424513	247302641	13950525	79580031	46034994	254803367	13966972	80964433	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
4	grpc	16	7	2026-09-11T14:12:59Z	5.989	0	46155907	254821613	13983464	80982813	65040111	271660152	14000416	83448769	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
4	grpc	32	7	2026-09-11T14:13:21Z	11.397	0	65096608	271679298	14016552	83468212	87225386	310590365	14033358	88004902	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
4	grpc	1	7	2026-09-11T14:13:47Z	0.778	0	87266910	310609306	14049657	88023472	87813759	311350564	14066301	88288277	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
4	grpc	4	7	2026-09-11T14:14:04Z	1.366	0	87885222	311369264	14082807	88306429	89571195	314611195	14099762	88901175	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
5	grpc	16	8	2026-09-11T14:14:53Z	6.503	0	31101414	315233211	14116691	89207038	56593295	331250266	14133276	91892160	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
5	grpc	32	8	2026-09-11T14:15:15Z	11.623	0	56670526	331269393	14149947	91912840	83717871	370462319	14166503	96542593	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
5	grpc	1	8	2026-09-11T14:15:43Z	0.846	0	83779784	370480133	14183649	96561375	84510419	371325597	14200874	96834751	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
5	grpc	4	8	2026-09-11T14:15:59Z	1.403	0	84548635	371345992	14218358	96856645	87198728	374652680	14235080	97503642	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
5	grpc	8	8	2026-09-11T14:16:16Z	2.643	0	87258766	374671559	14251763	97524169	91204547	383047550	14268636	98713420	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
5	webclient	32	9	2026-09-11T14:17:07Z	13.703	0	31706508	383723618	14292060	99036305	74425031	423919076	15959442	103857912	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed
