block	arm	c	slot	started_at	wall_s	k6_rc	cpu_backend_before	cpu_ai_before	cpu_nginx_before	cpu_mysql_before	cpu_backend_after	cpu_ai_after	cpu_nginx_after	cpu_mysql_after	cb_before	cb_after	restarts_before	restarts_after
1	grpc	1	0	2026-09-14T02:57:17Z	1.548	0	32246051	15860748	214643	10002189	36105765	16709734	231767	10297325	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
1	grpc	8	0	2026-09-14T02:57:34Z	3.290	0	36204294	16727912	248384	10317400	49123115	24204106	265153	11711916	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
1	webclient	8	1	2026-09-14T02:58:27Z	4.442	0	32578993	24934736	287817	12047321	50271653	34626208	656066	13503231	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
1	webclient	1	1	2026-09-14T02:58:47Z	1.344	0	50372519	34645696	674025	13523499	53109323	35582238	732431	13830050	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
1	webclient-native	1	2	2026-09-14T02:59:38Z	1.869	0	32299397	36326936	755743	14162848	36380259	37215476	814529	14472901	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
1	webclient-native	8	2	2026-09-14T02:59:56Z	3.768	0	36502326	37235279	831340	14494681	50514706	46309205	1183467	15881973	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
1	webclient-nested	8	3	2026-09-14T03:00:53Z	4.533	0	33656651	47065695	1206375	16261229	51075856	57548923	1553216	17670092	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
1	webclient-nested	1	3	2026-09-14T03:01:13Z	1.405	0	51179074	57568955	1570860	17713930	53499692	58638487	1628919	17990872	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
2	webclient	1	4	2026-09-14T03:02:09Z	1.891	0	33424425	59417699	1651709	18363200	37853568	60342484	1710354	18669240	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
2	webclient	8	4	2026-09-14T03:02:26Z	3.944	0	37937743	60361756	1727367	18690771	52225904	69682754	2084949	20091433	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
