DIGEST_TEXT	COUNT_STAR	sum_s	SUM_ROWS_EXAMINED
COMMIT	22147	5.515494377	0
SELECT `s1_0` . `id` , `s1_0` . `ai_instance_endpoint` , `s1_0` . `avg_sync_rate` , `s1_0` . `calories_burned` , `s1_0` . `created_at` , `s1_0` . `difficulty_level` , `s1_0` . `end_time` , `s1_0` . `exercise_id` , `e1_0` . `id` , `e1_0` . `analysis_supported` , `e1_0` . `category_id` , `e1_0` . `created_at` , `e1_0` . `description` , `e1_0` . `expected_duration_minutes` , `e1_0` . `name` , `e1_0` . `preferred_url` , `e1_0` . `sync_threshold_advanced` , `e1_0` . `sync_threshold_beginner` , `e1_0` . `sync_threshold_diet` , `e1_0` . `sync_threshold_rehab` , `e1_0` . `target_joints` , `s1_0` . `last_active_at` , `s1_0` . `max_sync_rate` , `s1_0` . `member_id` , `s1_0` . `min_sync_rate` , `s1_0` . `reference_source` , `s1_0` . `session_nonce` , `s1_0` . `start_time` , `s1_0` . `status` , `s1_0` . `total_reps` , `s1_0` . `version` FROM `exercise_sessions` `s1_0` JOIN `exercises` `e1_0` ON `e1_0` . `id` = `s1_0` . `exercise_id` WHERE `s1_0` . `id` = ? AND	18555	4.139630344	18560
SELECT COALESCE ( MAX ( `pd1_0` . `rep_number` ) , ? ) FROM `pose_data` `pd1_0` WHERE `pd1_0` . `session_id` = ? AND `pd1_0` . `created_at` = ?	18556	4.105810758	0
SELECT COALESCE ( MAX ( `pd1_0` . `timestamp_sec` ) , ? ) FROM `pose_data` `pd1_0` WHERE `pd1_0` . `session_id` = ? AND `pd1_0` . `created_at` = ?	18553	3.876640745	0
SELECT `m1_0` . `id` , `m1_0` . `created_at` , `m1_0` . `email` , `m1_0` . `height` , `m1_0` . `onboarding_completed` , `m1_0` . `password` , `m1_0` . `preferred_url` , `m1_0` . `profile_image_url` , `m1_0` . `role` , `m1_0` . `selected_persona` , `m1_0` . `sex` , `m1_0` . `tts_enabled` , `m1_0` . `tts_speed` , `m1_0` . `updated_at` , `m1_0` . `username` , `m1_0` . `weight` , `m1_0` . `workout_level` FROM `users` `m1_0` WHERE `m1_0` . `email` = ?	19076	3.684605547	19079
SELECT `m1_0` . `id` , `m1_0` . `created_at` , `m1_0` . `email` , `m1_0` . `height` , `m1_0` . `onboarding_completed` , `m1_0` . `password` , `m1_0` . `preferred_url` , `m1_0` . `profile_image_url` , `m1_0` . `role` , `m1_0` . `selected_persona` , `m1_0` . `sex` , `m1_0` . `tts_enabled` , `m1_0` . `tts_speed` , `m1_0` . `updated_at` , `m1_0` . `username` , `m1_0` . `weight` , `m1_0` . `workout_level` FROM `users` `m1_0` WHERE `m1_0` . `id` = ?	18795	3.046842786	18795
SET `autocommit` = ?	44696	1.892004724	0
SET SESSION TRANSACTION READ ONLY	18794	1.148811983	0
INSERT INTO `daily_logs` ( `member_id` , `log_date` , `total_exercise_time` , `total_calories` ) VALUES (...) ON DUPLICATE KEY UPDATE `total_exercise_time` = `total_exercise_time` + VALUES ( `total_exercise_time` ) , `total_calories` = `total_calories` + VALUES ( `total_calories` )	236	0.786115423	0
SET SESSION TRANSACTION READ WRITE	18794	0.550425034	0
SELECT * FROM `outbox_events` WHERE STATUS = ? AND `lock_expires_at` <= ? ORDER BY `id` LIMIT ? FOR UPDATE SKIP LOCKED	1123	0.389318699	0
SELECT * FROM `outbox_events` WHERE STATUS = ? AND ( `next_retry_at` IS NULL OR `next_retry_at` <= ? ) ORDER BY `id` LIMIT ? FOR UPDATE SKIP LOCKED	1123	0.254832681	598
UPDATE `exercise_sessions` SET `ai_instance_endpoint` = ? , `avg_sync_rate` = ? , `calories_burned` = ? , `difficulty_level` = ? , `end_time` = ? , `exercise_id` = ? , `last_active_at` = ? , `max_sync_rate` = ? , `member_id` = ? , `min_sync_rate` = ? , `reference_source` = ? , `session_nonce` = ? , `start_time` = ? , STATUS = ? , `total_reps` = ? , `version` = ? WHERE `id` = ? AND `version` = ?	472	0.172831352	472
SELECT COUNT ( `oe1_0` . `id` ) FROM `outbox_events` `oe1_0` WHERE `oe1_0` . `status` = ?	448	0.150304242	224
CREATE TABLE IF NOT EXISTS `pose_data` ( `id` INT8 AUTO_INCREMENT , `session_id` INT8 NOT NULL , `rep_number` INTEGER NOT NULL DEFAULT ? , `timestamp_sec` DECIMAL (...) NOT NULL , `joint_coordinates` JSON NOT NULL , `sync_rate` DECIMAL (...) NOT NULL , `smoothed_knee_angle` DECIMAL (...) NOT NULL DEFAULT ? , `feedback_message` VARCHARACTER (?) , `created_at` TIMESTAMP DEFAULT NOW , PRIMARY KEY ( `id` , `created_at` ) , INDEX `idx_session_timestamp` ( `session_id` , `timestamp_sec` ) ) PARTITION BY RANGE ( `UNIX_TIMESTAMP` ( `created_at` ) ) ( PARTITION `p2026_01` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_02` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_03` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_04` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_05` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_06` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_07` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_08` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_09` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_10` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_11` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_12` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2027_01` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `pfuture` VALUES LESS THAN MAXVALUE )	1	0.142795054	0
SELECT `s1_0` . `id` , `s1_0` . `ai_instance_endpoint` , `s1_0` . `avg_sync_rate` , `s1_0` . `calories_burned` , `s1_0` . `created_at` , `s1_0` . `difficulty_level` , `s1_0` . `end_time` , `s1_0` . `exercise_id` , `s1_0` . `last_active_at` , `s1_0` . `max_sync_rate` , `s1_0` . `member_id` , `s1_0` . `min_sync_rate` , `s1_0` . `reference_source` , `s1_0` . `session_nonce` , `s1_0` . `start_time` , `s1_0` . `status` , `s1_0` . `total_reps` , `s1_0` . `version` FROM `exercise_sessions` `s1_0` WHERE `s1_0` . `id` = ?	473	0.083550809	472
ALTER TABLE `exercises` ADD CONSTRAINT `fk_exercises_category` FOREIGN KEY ( `category_id` ) REFERENCES `categories` ( `id` )	1	0.080297446	0
ALTER TABLE `exercise_sessions` ADD COLUMN `ai_instance_endpoint` VARCHARACTER (?) NULL COMMENT ?	1	0.0764518	0
INSERT INTO `outbox_events` ( `aggregate_id` , `aggregate_type` , `correlation_id` , `created_at` , `event_type` , `lock_expires_at` , `locked_by` , `next_retry_at` , `payload` , `retry_count` , `sent_at` , STATUS ) VALUES (...)	236	0.0691325	0
SELECT `er1_0` . `id` , `er1_0` . `exercise_id` , `er1_0` . `joint_coordinates` , `er1_0` . `timestamp_sec` FROM `exercise_references` `er1_0` LEFT JOIN `exercises` `e1_0` ON `e1_0` . `id` = `er1_0` . `exercise_id` WHERE `e1_0` . `id` = ?	24	0.069095467	888
