arm round ms rows bp_reads pages_written ibuf_merges errors bp_write_req log_write_req p50_ms p95_ms p99_ms
A 0 527 20000 40 216 1 0 103222 100620 0.275 0.38 1.318
A 1 614 20000 155 81 0 0 103365 100731 0.275 0.398 1.259
B 2 647 20000 35 517 0 0 82430 80464 0.24 0.347 0.398
B 3 465 20000 40 54 0 0 82409 80468 0.251 0.316 0.398
A 4 589 20000 29 68 0 0 103209 100623 0.288 0.417 1.514
B 5 510 20000 56 128 0 0 82650 80563 0.251 0.363 0.417
A 6 529 20000 42 37 0 0 103158 100615 0.275 0.363 0.457
A 7 644 20000 184 59 0 0 103293 100730 0.275 0.398 1.259
B 8 497 20000 29 131 0 0 82415 80468 0.251 0.363 1.259
A 9 507 20000 38 37 0 0 103181 100622 0.275 0.347 0.457
B 10 490 20000 66 86 0 0 82575 80556 0.251 0.38 1.259
B 11 491 20000 23 31 0 0 82438 80467 0.251 0.363 1.202
A 12 537 20000 36 30 0 0 103168 100622 0.275 0.398 1.148
B 13 491 20000 38 76 0 0 82403 80467 0.251 0.38 0.437
A 14 553 20000 25 28 0 0 103179 100621 0.275 0.398 1.445
A 15 513 20000 29 70 0 0 103163 100619 0.263 0.363 1.318
B 16 482 20000 32 122 0 0 82405 80467 0.251 0.363 0.417
