arm round ms rows bp_reads pages_written ibuf_merges errors bp_write_req log_write_req p50_ms p95_ms p99_ms
A 0 4362 20000 218 936 1 0 105715 102947 5.248 6.607 7.943
A 1 4393 20000 125 1060 0 0 105732 103094 5.248 6.607 12.589
B 2 4154 20000 0 586 0 0 84715 82784 5.012 6.31 6.918
B 3 4202 20000 53 711 0 0 84878 82885 5.012 6.607 7.586
A 4 4432 20000 3 559 0 0 105498 102943 5.248 6.607 9.55
B 5 4199 20000 0 444 0 0 84727 82787 5.012 6.607 7.244
A 6 4224 20000 3 326 0 0 105473 102934 5.012 6.607 7.244
A 7 4416 20000 143 328 0 0 105606 103055 5.248 6.607 7.244
B 8 4167 20000 0 339 0 0 84898 82835 5.012 6.31 6.918
A 9 4250 20000 3 170 0 0 105501 102942 5.012 6.607 7.244
B 10 4184 20000 0 173 0 0 84703 82783 5.012 6.31 6.918
B 11 4150 20000 46 306 0 0 84939 82913 5.012 6.31 6.918
A 12 4065 20000 3 134 0 0 105489 102941 5.012 6.607 7.244
B 13 4172 20000 0 168 0 0 84722 82786 5.012 6.31 6.918
A 14 4302 20000 3 88 0 0 105500 102942 5.012 6.607 7.244
A 15 4212 20000 0 124 0 0 105487 102939 5.012 6.607 7.244
B 16 4178 20000 0 749 0 0 84881 82840 5.012 6.607 6.918
