arm	round	sessions	req	rps	detect_pct	p50	p95	p99	nolease	nopose	setup_fail	warm_lo	warm_hi	loader_cpus
B	discard	80	19178	239.74	99.50	27.9	41.2	146.3	0	0	0	1788801658.205	1788801738.200	full
B	anc1	80	19177	239.74	99.57	27.0	39.9	121.7	0	0	0	1788801792.366	1788801872.357	full
A	discard	20	4789	59.88	99.98	21.2	29.4	33.1	0	0	0	1788801938.277	1788802018.252	full
A	r1	20	4788	59.87	99.98	21.1	29.8	33.5	0	0	0	1788802062.489	1788802142.456	full
A	r1	40	9589	119.88	99.94	22.1	32.5	36.8	0	0	0	1788802188.329	1788802268.316	full
A	r1	60	14383	179.81	99.75	23.6	34.4	83.8	0	0	0	1788802315.981	1788802395.969	full
A	r1	80	19190	239.88	99.50	26.4	38.9	126.3	0	0	0	1788802445.697	1788802525.695	full
A	r1	90	21580	269.77	99.32	31.3	50.5	169.4	0	0	0	1788802576.740	1788802656.735	full
A	r1	100	23975	299.81	98.77	37.5	77.2	201.5	0	0	0	1788802708.522	1788802788.490	full
A	r1	120	28768	359.62	98.16	45.1	148.6	289.3	0	0	0	1788802842.777	1788802922.773	full
A	r1	160	35422	442.79	94.88	302.3	525.2	637.0	0	0	0	1788802981.770	1788803061.768	full
B	r1	20	4786	59.84	99.98	20.9	30.8	33.6	0	0	0	1788803133.248	1788803213.231	full
B	r1	40	9588	119.86	99.85	21.3	32.7	36.1	0	0	0	1788803265.203	1788803345.193	full
B	r1	60	14391	179.91	99.84	23.0	33.8	72.5	0	0	0	1788803397.971	1788803477.962	full
B	r1	80	19191	239.93	99.46	31.1	54.3	153.2	0	0	0	1788803532.453	1788803612.440	full
B	r1	90	21587	269.84	99.49	28.3	45.5	157.7	0	0	0	1788803667.358	1788803747.356	full
B	r1	100	23987	299.96	98.45	39.9	71.8	206.9	0	0	0	1788803803.297	1788803883.263	full
B	r1	120	28781	359.78	98.29	55.6	159.0	285.1	0	0	0	1788803941.095	1788804021.090	full
B	r1	160	36870	460.89	93.92	215.8	443.0	576.1	0	0	0	1788804081.791	1788804161.789	full
C	discard	20	4799	60.00	99.98	20.7	29.0	33.4	0	0	0	1788804259.495	1788804339.480	full
C	r1	20	4799	60.06	99.96	21.4	31.2	34.5	0	0	0	1788804390.109	1788804470.018	full
C	r1	40	9593	119.94	99.89	22.4	34.0	40.0	0	0	0	1788804522.495	1788804602.478	full
C	r1	60	14382	179.78	99.71	32.7	45.6	101.0	0	0	0	1788804655.339	1788804735.335	full
C	r1	80	19191	239.90	99.31	36.3	85.1	165.6	0	0	0	1788804789.977	1788804869.974	full
C	r1	90	20262	253.37	93.53	264.7	472.5	599.4	0	0	0	1788804925.320	1788805005.289	full
C	r1	100	20612	257.68	94.04	329.6	578.7	789.1	0	0	0	1788805061.385	1788805141.375	full
C	r1	120	20401	255.03	97.01	448.4	705.3	881.6	0	0	0	1788805198.970	1788805278.964	full
C	r1	160	18935	236.84	99.96	664.0	1007.2	1305.3	0	0	0	1788805339.980	1788805419.927	full
D	discard	20	4799	60.08	99.98	22.7	33.8	36.5	0	0	0	1788805492.324	1788805572.195	full
D	r1	20	4799	60.02	99.96	21.5	30.6	34.6	0	0	0	1788805622.862	1788805702.825	full
D	r1	40	9586	119.86	99.93	21.5	34.5	38.9	0	0	0	1788805755.084	1788805835.060	full
D	r1	60	14382	179.82	99.80	24.5	36.9	64.2	0	0	0	1788805887.733	1788805967.715	full
D	r1	80	19177	239.74	99.42	25.0	37.4	131.0	0	0	0	1788806022.045	1788806102.035	full
D	r1	90	20706	258.84	93.65	243.6	438.0	557.8	0	0	0	1788806157.110	1788806237.105	full
D	r1	100	20432	255.49	94.42	343.0	574.6	767.1	0	0	0	1788806292.969	1788806372.942	full
D	r1	120	20432	255.50	97.28	446.2	699.8	947.6	0	0	0	1788806430.459	1788806510.427	full
