tag	arm	sessions	target_rps	achieved_rps	count	ok	fail	p50_ms	p95_ms	p99_ms	req_expected	req_missing
B_discard_80	B	80	19	19.0	1899	1899	0	2.9	3.9	6.5	1900	1
B_anc1_80	B	80	19	19.0	1899	1899	0	2.5	3.7	7.8	1900	1
A_discard_20	A	20	-	-	-	-	-	-	-	-
A_r1_20	A	20	-	-	-	-	-	-	-	-
A_r1_40	A	40	-	-	-	-	-	-	-	-
A_r1_60	A	60	-	-	-	-	-	-	-	-
A_r1_80	A	80	-	-	-	-	-	-	-	-
A_r1_90	A	90	-	-	-	-	-	-	-	-
A_r1_100	A	100	-	-	-	-	-	-	-	-
A_r1_120	A	120	-	-	-	-	-	-	-	-
A_r1_160	A	160	-	-	-	-	-	-	-	-
B_r1_20	B	20	19	19.0	1899	1899	0	2.6	3.6	3.9	1900	1
B_r1_40	B	40	19	18.9	1899	1899	0	2.4	3.6	3.9	1900	1
B_r1_60	B	60	19	19.0	1899	1899	0	2.2	3.4	3.8	1900	1
B_r1_80	B	80	19	19.0	1899	1899	0	2.3	4.3	10.6	1900	1
B_r1_90	B	90	19	19.0	1899	1899	0	2.2	3.4	7.1	1900	1
B_r1_100	B	100	19	19.0	1899	1899	0	2.4	6.0	11.7	1900	1
B_r1_120	B	120	19	19.0	1899	1899	0	2.5	8.2	13.8	1900	1
B_r1_160	B	160	19	19.0	1899	1899	0	2.6	5.1	8.8	1900	1
C_discard_20	C	20	19	18.9	1899	1899	0	3.9	6.1	7.2	1900	1
C_r1_20	C	20	19	19.0	1899	1899	0	3.4	4.5	4.8	1900	1
C_r1_40	C	40	19	19.0	1899	1899	0	2.8	4.0	4.5	1900	1
C_r1_60	C	60	19	19.0	1899	1899	0	2.5	4.5	10.7	1900	1
C_r1_80	C	80	19	19.0	1899	1899	0	2.4	6.5	12.8	1900	1
C_r1_90	C	90	19	19.0	1899	1899	0	2.9	8.2	13.4	1900	1
C_r1_100	C	100	19	19.0	1899	1899	0	2.7	8.1	12.4	1900	1
C_r1_120	C	120	19	19.0	1899	1899	0	2.7	8.8	14.5	1900	1
C_r1_160	C	160	19	19.0	1899	1899	0	3.0	8.9	15.2	1900	1
D_discard_20	D	20	19	19.0	1899	1899	0	2.9	4.0	4.2	1900	1
D_r1_20	D	20	19	19.0	1899	1899	0	2.9	4.0	4.2	1900	1
