=== PULL START 2026-09-08T13:59:05Z src=/root/disk_run1.csv ===
# 장치=nvme0n1 interval=7s duration=2400s tail=300s
# 섹터=512B 고정 · rate 는 직전 표본과의 차분 / 실경과초
# gp3 기본 처리량 상한 = 128,000 KiB/s (=125MiB/s) — write_KiBps 가 여기 눌러붙는지가 관측 대상
epoch,read_KiBps,write_KiBps,io_inflight,rd_sectors_cum,wr_sectors_cum,innodb_data_writes,innodb_data_written,innodb_os_log_written,com_commit,shadowfit-ai_blkio,shadowfit-ai_logbytes,shadowfit-backend_blkio,shadowfit-backend_logbytes,shadowfit-mysql_blkio,shadowfit-mysql_logbytes
1788875860,,,0,724125,19528121,8545,51365888,3568128,3054,0B/1.45MB,25162,0B/844kB,3125196,131kB/510MB,9313
1788875874,0.0,104.0,0,724125,19531033,8600,51593728,3575808,3082,0B/1.45MB,25422,0B/860kB,3385304,131kB/511MB,9313
1788875886,0.0,142.0,0,724125,19534441,8651,51819520,3581952,3106,0B/1.45MB,25552,0B/860kB,3647749,131kB/512MB,9313
1788875899,0.0,733.5,0,724125,19553513,8702,52045312,3588608,3132,0B/1.45MB,25682,0B/877kB,3794449,131kB/514MB,9313
1788875912,0.0,108.9,0,724125,19556345,8751,52254720,3594752,3158,0B/1.45MB,25812,0B/877kB,4056418,131kB/515MB,9313
1788875924,0.0,786.0,0,724125,19575209,8803,52481024,3601920,3182,0B/1.45MB,26071,0B/893kB,4318889,131kB/517MB,9313
1788875937,0.0,254.8,0,724125,19581833,8853,52690944,3608576,3208,0B/1.45MB,26201,0B/893kB,4587283,131kB/518MB,9313
1788875950,9.2,199.1,0,724365,19587009,8905,52917248,3615232,3232,0B/1.45MB,26331,0B/893kB,4849752,131kB/519MB,9313
1788875962,0.0,122.3,0,724365,19589945,8956,53143040,3621888,3258,0B/1.45MB,26461,0B/909kB,4994070,131kB/521MB,9313
1788875975,0.3,890.8,0,724373,19613105,9006,53352960,3628544,3282,0B/1.45MB,26721,0B/909kB,5276477,131kB/523MB,9313
1788875988,0.0,352.3,0,724373,19622265,9178,54429184,3673600,3322,0B/1.45MB,26851,0B/926kB,5612992,131kB/526MB,9313
1788876000,0.0,350.3,0,724373,19630673,9373,55699968,3715072,3361,0B/1.45MB,26981,0B/926kB,5942967,131kB/531MB,9313
1788876013,0.0,896.0,0,724373,19653969,9622,57614848,3762688,3400,0B/1.45MB,27111,0B/926kB,6144708,131kB/537MB,9313
1788876025,0.0,447.0,0,724373,19664697,9834,59036160,3820544,3441,0B/1.45MB,27371,0B/942kB,6474669,131kB/541MB,9313
1788876038,1.5,718.5,0,724413,19683377,9979,59980800,3856384,3477,0B/1.45MB,27501,0B/942kB,6813026,131kB/546MB,9313
1788876051,0.0,594.5,0,724413,19698833,10203,61774336,3899904,3518,0B/1.45MB,27631,0B/958kB,7129575,131kB/550MB,9313
1788876063,0.0,407.0,0,724413,19708601,10390,62979072,3945472,3559,0B/1.45MB,27761,0B/958kB,7344725,131kB/554MB,9313
1788876076,0.0,842.8,0,724413,19730513,10595,64689152,3985408,3595,0B/1.45MB,28021,0B/975kB,7677055,131kB/559MB,9313
1788876089,0.0,346.8,0,724413,19739529,10764,65758720,4023808,3636,0B/1.45MB,28151,0B/975kB,8003028,131kB/563MB,9313
1788876101,0.0,349.3,0,724413,19747913,10933,66899968,4068352,3675,0B/1.45MB,28281,0B/975kB,8332021,131kB/568MB,9313
1788876114,0.0,907.4,0,724413,19771505,11151,68647424,4114944,3716,0B/1.45MB,28411,0B/991kB,8547174,131kB/572MB,9313
1788876127,0.0,920.9,0,724413,19795449,11317,69770752,4149248,3754,0B/1.45MB,28671,0B/991kB,8877119,131kB/576MB,9313
1788876139,0.0,372.3,0,724413,19804385,11501,71010816,4194816,3793,0B/1.45MB,28801,0B/1.01MB,9196072,131kB/581MB,9313
1788876152,0.0,456.6,0,724413,19816257,11727,72740864,4237312,3834,0B/1.45MB,28931,0B/1.01MB,9533106,131kB/585MB,9313
1788876165,0.0,745.2,0,724413,19835633,11890,73799168,4281856,3873,0B/1.45MB,29060,0B/1.01MB,9865473,131kB/589MB,9313
