=== PULL START 2026-09-08T13:59:18Z src=/root/disk_run1.csv ===
# 장치=nvme0n1 interval=7s duration=2400s tail=300s
# 섹터=512B 고정 · rate 는 직전 표본과의 차분 / 실경과초
# gp3 기본 처리량 상한 = 128,000 KiB/s (=125MiB/s) — write_KiBps 가 여기 눌러붙는지가 관측 대상
epoch,read_KiBps,write_KiBps,io_inflight,rd_sectors_cum,wr_sectors_cum,innodb_data_writes,innodb_data_written,innodb_os_log_written,com_commit,shadowfit-ai_blkio,shadowfit-ai_logbytes,shadowfit-backend_blkio,shadowfit-backend_logbytes,shadowfit-mysql_blkio,shadowfit-mysql_logbytes
1788875864,,,0,723357,19701433,8621,51262976,3571200,3058,0B/1.45MB,25284,0B/954kB,3122822,131kB/518MB,9312
1788875877,0.0,96.0,0,723357,19703929,8662,51483648,3578880,3086,0B/1.45MB,25413,0B/954kB,3382898,131kB/519MB,9312
1788875890,0.0,442.8,0,723357,19715441,8700,51702784,3585024,3112,0B/1.45MB,25543,0B/971kB,3645385,131kB/520MB,9312
1788875903,0.0,346.8,0,723357,19724457,8739,51922432,3591680,3136,0B/1.45MB,25802,0B/971kB,3792064,131kB/521MB,9312
1788875915,0.0,89.3,0,723357,19726601,8776,52125696,3598336,3162,0B/1.45MB,25932,0B/987kB,4054039,131kB/523MB,9312
1788875928,0.0,106.5,0,723357,19729369,8815,52345344,3604992,3186,0B/1.45MB,26062,0B/987kB,4320624,131kB/524MB,9312
1788875941,0.0,670.2,0,723357,19746793,8854,52564992,3611648,3212,0B/1.45MB,26192,0B/987kB,4584876,131kB/525MB,9312
1788875953,0.0,115.7,0,723357,19749569,8891,52768256,3618304,3238,0B/1.45MB,26452,0B/1MB,4847395,131kB/526MB,9312
1788875966,9.2,468.9,0,723597,19761761,8930,52987904,3624960,3262,0B/1.45MB,26582,0B/1MB,4994068,131kB/527MB,9312
1788875979,0.3,143.7,0,723605,19765497,8970,53208064,3632128,3288,0B/1.45MB,26712,0B/1.02MB,5272642,131kB/529MB,9312
1788875991,0.0,702.0,0,723605,19782345,9124,54212608,3671040,3324,0B/1.45MB,26842,0B/1.02MB,5593389,131kB/532MB,9312
1788876004,0.0,297.8,0,723605,19790089,9299,55286784,3714048,3365,0B/1.45MB,27102,0B/1.02MB,5925680,131kB/537MB,9312
1788876017,0.0,472.9,0,723605,19802385,9514,57006592,3755008,3403,0B/1.45MB,27232,0B/1.04MB,6138388,131kB/542MB,9312
1788876029,0.0,744.3,0,723605,19820249,9684,58145280,3798016,3442,0B/1.45MB,27362,0B/1.04MB,6457296,131kB/546MB,9312
1788876042,1.5,661.5,0,723645,19837449,9893,59579392,3850240,3483,0B/1.45MB,27492,0B/1.05MB,6789123,131kB/551MB,9312
1788876055,0.0,362.8,0,723645,19846881,10093,61219840,3886592,3521,0B/1.45MB,27752,0B/1.05MB,7125678,131kB/555MB,9312
