[14:00:05]  A[박스=up hb_rc=0 write=350.3KiB/s ]  B[박스=up hb_rc=0 write=702.0KiB/s ]
[14:01:41]  A[박스=up hb_rc=0 write=346.8KiB/s ]  B[박스=up hb_rc=0 write=268.6KiB/s ]
[14:03:16]  A[박스=up hb_rc=0 write=481.2KiB/s ]  B[박스=up hb_rc=0 write=338.0KiB/s ]
[14:04:51]  A[박스=up hb_rc=0 write=362.8KiB/s ]  B[박스=up hb_rc=0 write=416.3KiB/s ]
[14:06:31]  A[박스=up hb_rc=0 write=321.2KiB/s ]  B[박스=up hb_rc=0 write=379.1KiB/s ]
[14:08:06]  A[박스=up hb_rc=0 write=796.9KiB/s ]  B[박스=up hb_rc=0 write=388.9KiB/s ]
[14:09:41]  A[박스=up hb_rc=0 write=87.7KiB/s 부하 시작 — 워커 203 개]  B[박스=up hb_rc=0 write=149.0KiB/s 토큰 수명: 남은 11754s / 필요 1800s ]
[14:11:16]  A[박스=🔴DOWN hb_rc=124 write=?KiB/s 부하 시작 — 워커 203 개]  B[박스=up hb_rc=0 write=1352.7KiB/s 부하 시작 — 워커 203 개]
[14:13:07]  A[박스=🔴DOWN hb_rc=124 write=?KiB/s 부하 시작 — 워커 203 개]  B[박스=up hb_rc=0 write=262.2KiB/s 부하 시작 — 워커 203 개]
[14:14:59]  A[박스=🔴DOWN hb_rc=124 write=?KiB/s 부하 시작 — 워커 203 개]  B[박스=up hb_rc=0 write=408.0KiB/s 부하 시작 — 워커 203 개]
[14:16:50]  A[박스=🔴DOWN hb_rc=124 write=?KiB/s 부하 시작 — 워커 203 개]  B[박스=up hb_rc=0 write=642.5KiB/s 부하 시작 — 워커 203 개]
[14:18:40]  A[박스=🔴DOWN hb_rc=124 write=?KiB/s 부하 시작 — 워커 203 개]  B[박스=up hb_rc=0 write=628.3KiB/s 부하 시작 — 워커 203 개]
[14:20:30]  A[박스=🔴DOWN hb_rc=124 write=?KiB/s 부하 시작 — 워커 203 개]  B[박스=up hb_rc=0 write=294.0KiB/s 부하 시작 — 워커 203 개]
[14:22:22]  A[박스=up hb_rc=0 write=592.0KiB/s 부하 시작 — 워커 203 개]  B[박스=up hb_rc=0 write=272.0KiB/s 부하 시작 — 워커 203 개]
[14:23:58]  A[박스=up hb_rc=0 write=121.8KiB/s 부하 시작 — 워커 203 개]  B[박스=up hb_rc=0 write=471.4KiB/s 부하 시작 — 워커 203 개]
[14:25:33]  A[박스=🔴DOWN hb_rc=124 write=?KiB/s 부하 시작 — 워커 203 개]  B[박스=🔴DOWN hb_rc=124 write=?KiB/s 부하 시작 — 워커 203 개]
[14:27:39]  A[박스=🔴DOWN hb_rc=124 write=?KiB/s 부하 시작 — 워커 203 개]  B[박스=🔴DOWN hb_rc=124 write=?KiB/s 부하 시작 — 워커 203 개]
[14:29:45]  A[박스=🔴DOWN hb_rc=124 write=?KiB/s 부하 시작 — 워커 203 개]  B[박스=up hb_rc=0 write=120.0KiB/s ]
=== 두 팔 다 판 종료 ===

[exited with code 0]
