block	conc	size	arm	count	ok	fail	p50_ms	p95_ms	p99_ms	max_ms
0	1	S	grpc-k6	200	200	0	1.0	1.0	2.0	3.0
0	1	S	rest-nginx	200	200	0	1.0	2.0	2.01	3.0
0	1	S	rest-direct	200	200	0	1.0	2.0	2.01	4.0
0	1	L	grpc-k6	200	200	0	2.0	3.0	4.0	5.0
0	1	L	rest-nginx	200	200	0	2.0	3.0	4.0	6.0
0	1	L	rest-direct	200	200	0	2.0	3.0	3.0	5.0
0	3	S	grpc-k6	200	200	0	1.0	1.0	2.0	3.0
0	3	S	rest-nginx	200	200	0	3.0	4.0	6.0	6.0
0	3	S	rest-direct	200	200	0	2.0	4.0	5.0	5.0
0	3	L	grpc-k6	200	200	0	3.0	5.0	9.01	11.0
0	3	L	rest-nginx	200	200	0	5.0	6.0	8.0	9.0
0	3	L	rest-direct	200	200	0	4.0	6.0	7.0	9.0
1	1	S	rest-nginx	200	200	0	1.0	2.0	3.0	5.0
1	1	S	rest-direct	200	200	0	1.0	2.0	2.0	3.0
1	1	S	grpc-k6	200	200	0	0.0	1.0	2.0	2.0
1	1	L	rest-nginx	200	200	0	2.0	3.0	4.0	5.0
1	1	L	rest-direct	200	200	0	2.0	3.0	3.01	5.0
1	1	L	grpc-k6	200	200	0	2.0	4.0	4.0	5.0
1	3	S	rest-nginx	200	200	0	2.0	4.0	5.01	7.0
1	3	S	rest-direct	200	200	0	2.0	4.0	5.01	6.0
1	3	S	grpc-k6	200	200	0	1.0	2.0	2.0	3.0
1	3	L	rest-nginx	200	200	0	5.0	6.0	7.0	8.0
1	3	L	rest-direct	200	200	0	4.0	6.0	6.01	7.0
1	3	L	grpc-k6	200	200	0	3.0	5.0	9.0	17.0
2	1	S	rest-direct	200	200	0	1.0	1.0	3.0	3.0
2	1	S	grpc-k6	200	200	0	0.0	1.0	2.0	3.0
2	1	S	rest-nginx	200	200	0	1.0	2.0	2.0	4.0
2	1	L	rest-direct	200	200	0	2.0	3.0	3.0	5.0
2	1	L	grpc-k6	200	200	0	2.0	4.0	4.0	4.0
2	1	L	rest-nginx	200	200	0	2.0	3.0	3.01	4.0
2	3	S	rest-direct	200	200	0	2.0	4.0	4.01	5.0
2	3	S	grpc-k6	200	200	0	1.0	1.05	2.01	4.0
2	3	S	rest-nginx	200	200	0	3.0	4.0	6.01	7.0
2	3	L	rest-direct	200	200	0	4.0	6.0	7.01	8.0
2	3	L	grpc-k6	200	200	0	3.0	5.05	8.0	8.0
2	3	L	rest-nginx	200	200	0	5.0	7.0	39.0	39.0
3	1	S	grpc-k6	200	200	0	0.0	1.0	1.0	2.0
3	1	S	rest-nginx	200	200	0	1.0	2.0	3.0	4.0
3	1	S	rest-direct	200	200	0	1.0	2.0	2.01	3.0
3	1	L	grpc-k6	200	200	0	2.0	3.0	4.0	5.0
3	1	L	rest-nginx	200	200	0	2.0	3.0	4.01	6.0
3	1	L	rest-direct	200	200	0	2.0	3.0	3.01	5.0
3	3	S	grpc-k6	200	200	0	1.0	2.0	2.0	2.0
3	3	S	rest-nginx	200	200	0	2.0	4.0	5.01	6.0
3	3	S	rest-direct	200	200	0	2.0	4.0	5.0	6.0
3	3	L	grpc-k6	200	200	0	3.0	5.0	8.01	11.0
3	3	L	rest-nginx	200	200	0	5.0	6.0	7.02	9.0
3	3	L	rest-direct	200	200	0	4.0	6.0	6.01	7.0
4	1	S	rest-nginx	200	200	0	1.0	2.0	2.01	5.0
4	1	S	rest-direct	200	200	0	1.0	2.0	3.01	4.0
4	1	S	grpc-k6	200	200	0	0.0	1.0	1.0	3.0
4	1	L	rest-nginx	200	200	0	2.0	3.0	4.0	5.0
4	1	L	rest-direct	200	200	0	2.0	3.0	3.0	4.0
4	1	L	grpc-k6	200	200	0	2.0	4.0	4.01	5.0
4	3	S	rest-nginx	200	200	0	3.0	4.0	6.0	6.0
4	3	S	rest-direct	200	200	0	2.0	4.0	5.0	6.0
4	3	S	grpc-k6	200	200	0	1.0	2.0	2.0	2.0
4	3	L	rest-nginx	200	200	0	5.0	6.0	8.0	8.0
4	3	L	rest-direct	200	200	0	4.0	6.0	7.01	8.0
4	3	L	grpc-k6	200	200	0	3.0	5.05	8.0	12.0
