block	conc	size	arm	count	ok	fail	p50_ms	p95_ms	p99_ms	max_ms
0	1	S	grpc	200	200	0	0.304	1.233	1.691	1.917
0	1	S	rest-nginx	200	200	0	0.931	1.76	2.566	2.913
0	1	S	rest-direct	200	200	0	0.959	1.679	2.237	2.749
0	1	L	grpc	200	200	0	0.594	1.49	1.988	3.133
0	1	L	rest-nginx	200	200	0	1.961	2.927	3.351	5.219
0	1	L	rest-direct	200	200	0	1.447	1.911	2.565	3.137
0	3	S	grpc	200	200	0	0.817	1.234	4.121	4.33
0	3	S	rest-nginx	200	200	0	2.445	3.876	4.372	5.057
0	3	S	rest-direct	200	200	0	2.058	3.438	4.668	5.785
0	3	L	grpc	200	200	0	1.031	1.625	4.112	4.123
0	3	L	rest-nginx	200	200	0	4.815	6.22	6.917	7.539
0	3	L	rest-direct	200	200	0	3.927	5.339	6.404	9.379
1	1	S	rest-nginx	200	200	0	1.042	1.632	1.863	2.477
1	1	S	rest-direct	200	200	0	0.739	1.441	2.094	2.519
1	1	S	grpc	200	200	0	0.382	1.273	1.67	3.105
1	1	L	rest-nginx	200	200	0	1.995	2.867	3.269	3.45
1	1	L	rest-direct	200	200	0	1.755	2.429	2.654	3.243
1	1	L	grpc	200	200	0	0.572	1.391	1.868	2.772
1	3	S	rest-nginx	200	200	0	2.437	3.853	4.124	5.294
1	3	S	rest-direct	200	200	0	2.218	3.836	34.605	35.35
1	3	S	grpc	200	200	0	0.824	1.245	2.917	3.111
1	3	L	rest-nginx	200	200	0	4.649	6.163	7.039	8.14
1	3	L	rest-direct	200	200	0	3.918	5.593	6.211	7.421
1	3	L	grpc	200	200	0	1.031	1.793	3.521	3.606
2	1	S	rest-direct	200	200	0	0.862	1.6	1.926	2.188
2	1	S	grpc	200	200	0	0.374	1.016	1.325	2.404
2	1	S	rest-nginx	200	200	0	0.945	1.265	1.939	2.816
2	1	L	rest-direct	200	200	0	1.587	2.464	2.695	3.135
2	1	L	grpc	200	200	0	0.667	1.562	2.237	2.492
2	1	L	rest-nginx	200	200	0	1.951	2.794	3.201	4.217
2	3	S	rest-direct	200	200	0	2.192	3.423	4.036	4.517
2	3	S	grpc	200	200	0	0.836	1.53	3.358	3.423
2	3	S	rest-nginx	200	200	0	2.383	3.619	4.44	4.953
2	3	L	rest-direct	200	200	0	3.872	5.614	8.524	9.449
2	3	L	grpc	200	200	0	0.995	1.934	4.241	4.325
2	3	L	rest-nginx	200	200	0	4.696	5.972	6.378	6.601
3	1	S	grpc	200	200	0	0.422	1.185	1.52	2.752
3	1	S	rest-nginx	200	200	0	1.075	1.863	2.117	3.013
3	1	S	rest-direct	200	200	0	0.944	1.849	2.555	3.145
3	1	L	grpc	200	200	0	0.532	1.02	1.48	3.26
3	1	L	rest-nginx	200	200	0	1.963	2.853	3.133	3.28
3	1	L	rest-direct	200	200	0	1.902	2.589	2.865	3.976
3	3	S	grpc	200	200	0	0.783	1.259	2.63	2.841
3	3	S	rest-nginx	200	200	0	2.354	3.677	4.212	5.397
3	3	S	rest-direct	200	200	0	2.086	3.528	4.303	5.006
3	3	L	grpc	200	200	0	1.003	1.861	4.855	5.079
3	3	L	rest-nginx	200	200	0	4.7	6.19	6.672	8.476
3	3	L	rest-direct	200	200	0	3.962	5.778	7.986	9.205
4	1	S	rest-nginx	200	200	0	1.011	1.655	1.959	3.534
4	1	S	rest-direct	200	200	0	0.807	1.549	2.191	3.179
4	1	S	grpc	200	200	0	0.398	1.033	1.429	2.053
4	1	L	rest-nginx	200	200	0	1.987	2.753	3.205	3.538
4	1	L	rest-direct	200	200	0	1.717	2.531	2.771	3.337
4	1	L	grpc	200	200	0	0.549	1.351	1.622	2.785
4	3	S	rest-nginx	200	200	0	2.48	3.815	4.508	4.759
4	3	S	rest-direct	200	200	0	1.982	3.162	3.529	4.321
4	3	S	grpc	200	200	0	0.814	1.28	2.03	2.268
4	3	L	rest-nginx	200	200	0	4.651	6.571	36.757	37.358
4	3	L	rest-direct	200	200	0	3.87	5.563	6.123	6.603
4	3	L	grpc	200	200	0	1.021	1.836	4.01	4.725
