t_rel	session_idx	ms	outcome
0.034	19	114.6	ok
0.008	11	140.51	ok
0.016	14	134.97	ok
0.007	9	144.84	ok
0.053	27	102.86	ok
0.054	28	102.36	ok
0.023	16	138.1	ok
0.053	26	108.34	ok
0.044	22	117.16	ok
0.01	12	151.0	ok
0.015	13	146.85	ok
0.05	24	111.69	ok
0.004	5	159.08	ok
0.02	15	143.37	ok
0.024	17	141.05	ok
0.051	25	141.21	ok
0.006	7	186.61	ok
0.003	2	195.5	ok
0.003	3	206.71	ok
0.004	4	206.54	ok
0.056	29	156.8	ok
0.04	20	178.93	ok
0.007	8	214.16	ok
0.043	21	178.07	ok
0.003	1	219.95	ok
0.005	6	217.63	ok
0.032	18	201.1	ok
0.008	10	225.38	ok
0.057	30	180.91	ok
0.048	23	193.47	ok
0.06	33	200.52	ok
0.06	34	200.48	ok
0.002	0	258.81	ok
0.058	31	202.52	ok
0.059	32	203.17	ok
0.06	35	202.16	ok
0.061	36	202.04	ok
0.061	38	201.72	ok
0.062	41	212.85	ok
0.063	44	212.22	ok
0.061	37	214.55	ok
0.062	40	213.75	ok
0.062	39	214.2	ok
0.064	46	214.22	ok
0.063	45	219.2	ok
0.063	42	220.07	ok
0.063	43	226.41	ok
0.064	47	227.2	ok
0.065	50	227.47	ok
0.065	48	232.67	ok
0.065	49	248.17	ok
0.067	53	256.51	ok
0.068	55	260.22	ok
0.067	52	263.56	ok
0.066	51	272.98	ok
0.067	54	271.78	ok
0.068	56	274.17	ok
0.069	60	275.65	ok
0.069	59	278.22	ok
0.08	89	268.95	ok
0.099	145	250.0	ok
0.068	57	282.31	ok
0.069	58	282.17	ok
0.088	125	264.63	ok
0.076	86	281.6	ok
0.084	114	275.25	ok
0.102	148	271.4	ok
0.1	146	276.41	ok
0.069	61	315.44	ok
0.08	91	306.04	ok
0.08	92	306.09	ok
0.079	88	313.07	ok
0.09	128	314.12	ok
0.085	117	318.92	ok
0.087	122	317.68	ok
0.075	81	330.96	ok
0.106	151	300.55	ok
0.075	79	336.92	ok
0.084	113	344.49	ok
0.074	75	355.19	ok
