tag	pool	round	count	ok	fail	rps	p50_ms	p95_ms	p99_ms	p50f_ms	p95f_ms	p99f_ms
r1-p10	10	r1	15000	15000	0	1707.1	37.565	102.149	164.668			
r1-p12	12	r1	15000	15000	0	1761.7	35.711	86.159	141.418			
r1-p15	15	r1	15000	15000	0	1751.8	33.615	86.696	137.233			
r1-p17	17	r1	15000	15000	0	1760.8	35.212	82.376	158.581			
r1-p20	20	r1	15000	15000	0	1749.6	34.621	85.638	145.467			
r2-p15	15	r2	15000	15000	0	1774.8	35.104	83.027	125.844			
r2-p17	17	r2	15000	15000	0	1756.0	34.807	88.185	137.052			
r2-p20	20	r2	15000	15000	0	1754.5	34.426	86.128	145.757			
r2-p10	10	r2	15000	15000	0	1728.3	36.253	95.431	154.366			
r2-p12	12	r2	15000	15000	0	1739.1	35.005	91.526	149.106			
r3-p20	20	r3	15000	15000	0	1782.7	33.673	83.353	147.42			
r3-p10	10	r3	15000	15000	0	1731.2	35.344	94.768	142.821			
r3-p12	12	r3	15000	15000	0	1775.0	35.134	85.689	138.383			
r3-p15	15	r3	15000	15000	0	1760.5	36.297	81.908	144.337			
r3-p17	17	r3	15000	15000	0	1744.9	35.013	93.44	156.069			
