tag	pool	phase	epoch	source	metric	value
r1-p10	10	pre	1788533102	spring	hikaricp_connections{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788533102	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	6
r1-p10	10	pre	1788533102	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	0.001193335
r1-p10	10	pre	1788533102	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	0.001114324
r1-p10	10	pre	1788533102	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788533102	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p10	10	pre	1788533102	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788533102	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788533102	spring	hikaricp_connections_idle{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788533102	spring	hikaricp_connections_max{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788533102	spring	hikaricp_connections_min{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788533102	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788533102	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788533102	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	6
r1-p10	10	pre	1788533102	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	0.016
r1-p10	10	pre	1788533102	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.01
r1-p10	10	pre	1788533102	mysql	Innodb_row_lock_time	0
r1-p10	10	pre	1788533102	mysql	Innodb_row_lock_waits	0
r1-p10	10	pre	1788533102	mysql	Threads_connected	11
r1-p10	10	pre	1788533102	mysql	Threads_running	2
r1-p10_post	10	post	1788533112	spring	hikaricp_connections{pool="HikariPool-1"}	10.0
r1-p10_post	10	post	1788533112	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	15011
r1-p10_post	10	post	1788533112	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	126.161715833
r1-p10_post	10	post	1788533112	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	0.154736546
r1-p10_post	10	post	1788533112	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788533112	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p10_post	10	post	1788533112	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788533112	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788533112	spring	hikaricp_connections_idle{pool="HikariPool-1"}	10.0
r1-p10_post	10	post	1788533112	spring	hikaricp_connections_max{pool="HikariPool-1"}	10.0
r1-p10_post	10	post	1788533112	spring	hikaricp_connections_min{pool="HikariPool-1"}	10.0
r1-p10_post	10	post	1788533112	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788533112	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788533112	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	15011
r1-p10_post	10	post	1788533112	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	58.7
r1-p10_post	10	post	1788533112	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.081
r1-p10_post	10	post	1788533112	mysql	Innodb_row_lock_time	0
r1-p10_post	10	post	1788533112	mysql	Innodb_row_lock_waits	0
r1-p10_post	10	post	1788533112	mysql	Threads_connected	11
r1-p10_post	10	post	1788533112	mysql	Threads_running	2
r1-p12	12	pre	1788533126	spring	hikaricp_connections{pool="HikariPool-1"}	12.0
r1-p12	12	pre	1788533126	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	6
r1-p12	12	pre	1788533126	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	0.001060999
r1-p12	12	pre	1788533126	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	9.91938E-4
r1-p12	12	pre	1788533126	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p12	12	pre	1788533126	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p12	12	pre	1788533126	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p12	12	pre	1788533126	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p12	12	pre	1788533126	spring	hikaricp_connections_idle{pool="HikariPool-1"}	12.0
r1-p12	12	pre	1788533126	spring	hikaricp_connections_max{pool="HikariPool-1"}	12.0
r1-p12	12	pre	1788533126	spring	hikaricp_connections_min{pool="HikariPool-1"}	12.0
r1-p12	12	pre	1788533126	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p12	12	pre	1788533126	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p12	12	pre	1788533126	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	6
r1-p12	12	pre	1788533126	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	0.014
r1-p12	12	pre	1788533126	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.01
r1-p12	12	pre	1788533126	mysql	Innodb_row_lock_time	0
r1-p12	12	pre	1788533126	mysql	Innodb_row_lock_waits	0
r1-p12	12	pre	1788533126	mysql	Threads_connected	13
r1-p12	12	pre	1788533126	mysql	Threads_running	2
r1-p12_post	12	post	1788533135	spring	hikaricp_connections{pool="HikariPool-1"}	12.0
r1-p12_post	12	post	1788533135	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	15011
r1-p12_post	12	post	1788533135	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	55.267574176
r1-p12_post	12	post	1788533135	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	0.069076586
r1-p12_post	12	post	1788533135	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p12_post	12	post	1788533135	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p12_post	12	post	1788533135	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p12_post	12	post	1788533135	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p12_post	12	post	1788533135	spring	hikaricp_connections_idle{pool="HikariPool-1"}	12.0
r1-p12_post	12	post	1788533135	spring	hikaricp_connections_max{pool="HikariPool-1"}	12.0
r1-p12_post	12	post	1788533135	spring	hikaricp_connections_min{pool="HikariPool-1"}	12.0
r1-p12_post	12	post	1788533135	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
