tag	pool	round	count	ok	fail	rps	p50_ms	p95_ms	p99_ms
r1-p10	10	r1	15000	15000	0	1345.5	50.542366	150.817529	236.201621
r1-p12	12	r1	15000	15000	0	1364.0	50.460775	141.153711	216.305441
r1-p15	15	r1	15000	15000	0	1393.5	50.530146	137.471503	192.710954
r1-p17	17	r1	15000	15000	0	1356.5	54.175058	143.273681	207.975403
r1-p20	20	r1	15000	15000	0	1320.2	54.247287	150.029484	236.264089
r2-p15	15	r2	15000	15000	0	1321.0	54.114321	151.795451	216.538377
r2-p17	17	r2	15000	15000	0	1304.1	57.468415	134.803217	231.62448
r2-p20	20	r2	15000	15000	0	1354.0	54.049142	147.388056	224.385527
r2-p10	10	r2	15000	15000	0	1298.6	57.899555	139.274624	247.977437
r2-p12	12	r2	15000	15000	0	1361.8	50.833844	142.084001	214.320896
r3-p20	20	r3	15000	15000	0	1374.6	52.062824	139.04124	200.38279
r3-p10	10	r3	15000	15000	0	1368.2	51.511402	138.933022	212.616585
r3-p12	12	r3	15000	15000	0	1371.9	50.964509	138.908892	212.647425
r3-p15	15	r3	15000	15000	0	1382.8	52.615308	128.032049	202.755183
r3-p17	17	r3	15000	15000	0	1310.7	58.242183	143.026888	238.106959
