tag	pool	phase	epoch	source	metric	value
r1-p10	10	pre	1788532060	spring	hikaricp_connections{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788532060	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	6
r1-p10	10	pre	1788532060	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	4.85253E-4
r1-p10	10	pre	1788532060	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	4.12312E-4
r1-p10	10	pre	1788532060	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788532060	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p10	10	pre	1788532060	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788532060	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788532060	spring	hikaricp_connections_idle{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788532060	spring	hikaricp_connections_max{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788532060	spring	hikaricp_connections_min{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788532060	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788532060	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788532060	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	6
r1-p10	10	pre	1788532060	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	0.016
r1-p10	10	pre	1788532060	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.011
r1-p10	10	pre	1788532060	mysql	Innodb_row_lock_time	0
r1-p10	10	pre	1788532060	mysql	Innodb_row_lock_waits	0
r1-p10	10	pre	1788532060	mysql	Threads_connected	11
r1-p10	10	pre	1788532060	mysql	Threads_running	2
r1-p10_post	10	post	1788532072	spring	hikaricp_connections{pool="HikariPool-1"}	10.0
r1-p10_post	10	post	1788532072	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	15013
r1-p10_post	10	post	1788532072	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	314.864587147
r1-p10_post	10	post	1788532072	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	0.272164994
r1-p10_post	10	post	1788532072	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788532072	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p10_post	10	post	1788532072	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788532072	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788532072	spring	hikaricp_connections_idle{pool="HikariPool-1"}	10.0
r1-p10_post	10	post	1788532072	spring	hikaricp_connections_max{pool="HikariPool-1"}	10.0
r1-p10_post	10	post	1788532072	spring	hikaricp_connections_min{pool="HikariPool-1"}	10.0
r1-p10_post	10	post	1788532072	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788532072	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788532072	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	15013
r1-p10_post	10	post	1788532072	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	87.971
r1-p10_post	10	post	1788532072	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.262
r1-p10_post	10	post	1788532072	mysql	Innodb_row_lock_time	0
r1-p10_post	10	post	1788532072	mysql	Innodb_row_lock_waits	0
r1-p10_post	10	post	1788532072	mysql	Threads_connected	11
r1-p10_post	10	post	1788532072	mysql	Threads_running	2
r1-p12	12	pre	1788532090	spring	hikaricp_connections{pool="HikariPool-1"}	12.0
r1-p12	12	pre	1788532090	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	6
r1-p12	12	pre	1788532090	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	4.49394E-4
r1-p12	12	pre	1788532090	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	3.90614E-4
r1-p12	12	pre	1788532090	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p12	12	pre	1788532090	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p12	12	pre	1788532090	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p12	12	pre	1788532090	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p12	12	pre	1788532090	spring	hikaricp_connections_idle{pool="HikariPool-1"}	12.0
r1-p12	12	pre	1788532090	spring	hikaricp_connections_max{pool="HikariPool-1"}	12.0
r1-p12	12	pre	1788532090	spring	hikaricp_connections_min{pool="HikariPool-1"}	12.0
r1-p12	12	pre	1788532090	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p12	12	pre	1788532090	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p12	12	pre	1788532090	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	6
r1-p12	12	pre	1788532090	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	0.015
r1-p12	12	pre	1788532090	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.011
r1-p12	12	pre	1788532090	mysql	Innodb_row_lock_time	0
r1-p12	12	pre	1788532090	mysql	Innodb_row_lock_waits	0
r1-p12	12	pre	1788532090	mysql	Threads_connected	13
