tag	pool	round	count	ok	fail	rps	p50_ms	p95_ms	p99_ms
r1-p10	10	r1	15000	15000	0	1632.4	36.59023	93.452794	146.768662
r1-p12	12	r1	15000	15000	0	1635.8	38.236349	94.325755	145.668528
r1-p15	15	r1	15000	15000	0	1621.1	38.018328	91.879583	158.133987
r1-p17	17	r1	15000	15000	0	1643.7	37.529673	87.36884	149.298135
r1-p20	20	r1	15000	15000	0	1675.7	36.090654	83.631865	141.920944
r2-p15	15	r2	15000	15000	0	1640.6	37.260368	86.984557	142.534082
r2-p17	17	r2	15000	15000	0	1670.6	35.951289	82.204594	148.482474
r2-p20	20	r2	15000	15000	0	1625.7	35.684121	94.256088	170.443405
r2-p10	10	r2	15000	15000	0	1620.7	37.666592	97.985989	153.525847
r2-p12	12	r2	15000	15000	0	1624.4	36.827554	94.124063	148.453453
r3-p20	20	r3	15000	15000	0	1673.9	35.434911	83.841368	150.569405
r3-p10	10	r3	15000	15000	0	1558.0	38.602297	104.944594	157.375023
r3-p12	12	r3	15000	15000	0	1651.8	38.016662	88.077374	130.747253
r3-p15	15	r3	15000	15000	0	1642.9	36.51111	86.223501	158.83403
r3-p17	17	r3	15000	15000	0	1663.2	36.196818	85.365444	145.547633
