tag	pool	phase	epoch	source	metric	value
r1-p10	10	pre	1788661237	spring	hikaricp_connections{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788661237	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	6
r1-p10	10	pre	1788661237	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	0.001086478
r1-p10	10	pre	1788661237	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	0.001016706
r1-p10	10	pre	1788661237	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788661237	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p10	10	pre	1788661237	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788661237	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788661237	spring	hikaricp_connections_idle{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788661237	spring	hikaricp_connections_max{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788661237	spring	hikaricp_connections_min{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788661237	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788661237	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788661237	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	6
r1-p10	10	pre	1788661237	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	0.014
r1-p10	10	pre	1788661237	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.009
r1-p10	10	pre	1788661237	mysql	Innodb_row_lock_time	0
r1-p10	10	pre	1788661237	mysql	Innodb_row_lock_waits	0
r1-p10	10	pre	1788661237	mysql	Threads_connected	11
r1-p10	10	pre	1788661237	mysql	Threads_running	2
r1-p10_post	10	post	1788661247	spring	hikaricp_connections{pool="HikariPool-1"}	10.0
r1-p10_post	10	post	1788661247	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	15011
r1-p10_post	10	post	1788661247	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	126.517760113
r1-p10_post	10	post	1788661247	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	0.166701724
r1-p10_post	10	post	1788661247	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788661247	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p10_post	10	post	1788661247	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788661247	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788661247	spring	hikaricp_connections_idle{pool="HikariPool-1"}	10.0
r1-p10_post	10	post	1788661247	spring	hikaricp_connections_max{pool="HikariPool-1"}	10.0
r1-p10_post	10	post	1788661247	spring	hikaricp_connections_min{pool="HikariPool-1"}	10.0
r1-p10_post	10	post	1788661247	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788661247	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788661247	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	15011
r1-p10_post	10	post	1788661247	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	57.896
r1-p10_post	10	post	1788661247	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.065
r1-p10_post	10	post	1788661247	mysql	Innodb_row_lock_time	0
r1-p10_post	10	post	1788661247	mysql	Innodb_row_lock_waits	0
r1-p10_post	10	post	1788661247	mysql	Threads_connected	11
r1-p10_post	10	post	1788661247	mysql	Threads_running	2
r1-p12	12	pre	1788661260	spring	hikaricp_connections{pool="HikariPool-1"}	12.0
r1-p12	12	pre	1788661260	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	6
r1-p12	12	pre	1788661260	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	0.001129546
r1-p12	12	pre	1788661260	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	0.001062553
r1-p12	12	pre	1788661260	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p12	12	pre	1788661260	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p12	12	pre	1788661260	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p12	12	pre	1788661260	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p12	12	pre	1788661260	spring	hikaricp_connections_idle{pool="HikariPool-1"}	12.0
r1-p12	12	pre	1788661260	spring	hikaricp_connections_max{pool="HikariPool-1"}	12.0
r1-p12	12	pre	1788661260	spring	hikaricp_connections_min{pool="HikariPool-1"}	12.0
r1-p12	12	pre	1788661260	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p12	12	pre	1788661260	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p12	12	pre	1788661260	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	6
r1-p12	12	pre	1788661260	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	0.015
r1-p12	12	pre	1788661260	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.009
r1-p12	12	pre	1788661260	mysql	Innodb_row_lock_time	0
r1-p12	12	pre	1788661260	mysql	Innodb_row_lock_waits	0
r1-p12	12	pre	1788661260	mysql	Threads_connected	13
r1-p12	12	pre	1788661260	mysql	Threads_running	2
r1-p12_post	12	post	1788661270	spring	hikaricp_connections{pool="HikariPool-1"}	12.0
r1-p12_post	12	post	1788661270	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	15011
r1-p12_post	12	post	1788661270	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	84.596311678
r1-p12_post	12	post	1788661270	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	0.11436871
r1-p12_post	12	post	1788661270	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p12_post	12	post	1788661270	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p12_post	12	post	1788661270	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p12_post	12	post	1788661270	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p12_post	12	post	1788661270	spring	hikaricp_connections_idle{pool="HikariPool-1"}	12.0
r1-p12_post	12	post	1788661270	spring	hikaricp_connections_max{pool="HikariPool-1"}	12.0
r1-p12_post	12	post	1788661270	spring	hikaricp_connections_min{pool="HikariPool-1"}	12.0
r1-p12_post	12	post	1788661270	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p12_post	12	post	1788661270	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p12_post	12	post	1788661270	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	15011
r1-p12_post	12	post	1788661270	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	64.271
r1-p12_post	12	post	1788661270	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.075
r1-p12_post	12	post	1788661270	mysql	Innodb_row_lock_time	0
r1-p12_post	12	post	1788661270	mysql	Innodb_row_lock_waits	0
r1-p12_post	12	post	1788661270	mysql	Threads_connected	13
r1-p12_post	12	post	1788661270	mysql	Threads_running	2
r1-p15	15	pre	1788661284	spring	hikaricp_connections{pool="HikariPool-1"}	15.0
r1-p15	15	pre	1788661284	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	6
r1-p15	15	pre	1788661284	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	0.001138711
r1-p15	15	pre	1788661284	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	0.001056538
r1-p15	15	pre	1788661284	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p15	15	pre	1788661284	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p15	15	pre	1788661284	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p15	15	pre	1788661284	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p15	15	pre	1788661284	spring	hikaricp_connections_idle{pool="HikariPool-1"}	15.0
r1-p15	15	pre	1788661284	spring	hikaricp_connections_max{pool="HikariPool-1"}	15.0
r1-p15	15	pre	1788661284	spring	hikaricp_connections_min{pool="HikariPool-1"}	15.0
r1-p15	15	pre	1788661284	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p15	15	pre	1788661284	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p15	15	pre	1788661284	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	6
r1-p15	15	pre	1788661284	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	0.018
r1-p15	15	pre	1788661284	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.012
r1-p15	15	pre	1788661284	mysql	Innodb_row_lock_time	0
r1-p15	15	pre	1788661284	mysql	Innodb_row_lock_waits	0
r1-p15	15	pre	1788661284	mysql	Threads_connected	16
r1-p15	15	pre	1788661284	mysql	Threads_running	2
r1-p15_post	15	post	1788661294	spring	hikaricp_connections{pool="HikariPool-1"}	15.0
r1-p15_post	15	post	1788661294	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	15011
r1-p15_post	15	post	1788661294	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	29.520892902
r1-p15_post	15	post	1788661294	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	0.077304797
r1-p15_post	15	post	1788661294	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p15_post	15	post	1788661294	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p15_post	15	post	1788661294	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p15_post	15	post	1788661294	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p15_post	15	post	1788661294	spring	hikaricp_connections_idle{pool="HikariPool-1"}	15.0
r1-p15_post	15	post	1788661294	spring	hikaricp_connections_max{pool="HikariPool-1"}	15.0
r1-p15_post	15	post	1788661294	spring	hikaricp_connections_min{pool="HikariPool-1"}	15.0
r1-p15_post	15	post	1788661294	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
