tag	pool	round	count	ok	fail	rps	p50_ms	p95_ms	p99_ms
r1-p10	10	r1	15000	15000	0	1937.0	28.25166	57.912999	94.001937
r1-p12	12	r1	15000	15000	0	1933.0	26.192272	58.532816	87.12673
r1-p15	15	r1	15000	15000	0	1920.9	29.803024	60.824921	88.245294
r1-p17	17	r1	15000	15000	0	1928.9	26.027292	57.204044	85.888135
r1-p20	20	r1	15000	15000	0	1930.6	26.705641	57.826287	95.158167
r2-p15	15	r2	15000	15000	0	1923.1	27.212588	58.958171	91.349284
r2-p17	17	r2	15000	15000	0	1919.5	25.750236	60.427397	92.02132
r2-p20	20	r2	15000	15000	0	1926.7	26.442818	59.246219	94.484917
r2-p10	10	r2	15000	15000	0	1925.4	25.986397	57.57464	97.180714
r2-p12	12	r2	15000	15000	0	1917.6	25.810642	56.321192	96.056353
r3-p20	20	r3	15000	15000	0	1927.5	25.398924	55.679786	87.097446
r3-p10	10	r3	15000	15000	0	1938.4	27.347473	56.884853	100.333817
r3-p12	12	r3	15000	15000	0	1924.3	25.754963	59.618871	87.283393
r3-p15	15	r3	15000	15000	0	1923.3	28.360592	58.376796	86.138068
r3-p17	17	r3	15000	15000	0	1936.0	25.998443	57.384404	87.028161
