tag	pool	phase	epoch	source	metric	value
r1-p10	10	pre	1788656384	spring	hikaricp_connections{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788656384	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	6
r1-p10	10	pre	1788656384	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	4.61241E-4
r1-p10	10	pre	1788656384	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	3.86806E-4
r1-p10	10	pre	1788656384	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788656384	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p10	10	pre	1788656384	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788656384	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788656384	spring	hikaricp_connections_idle{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788656384	spring	hikaricp_connections_max{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788656384	spring	hikaricp_connections_min{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788656384	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788656384	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788656384	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	6
r1-p10	10	pre	1788656384	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	0.011
r1-p10	10	pre	1788656384	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.008
r1-p10	10	pre	1788656384	mysql	Innodb_row_lock_time	0
r1-p10	10	pre	1788656384	mysql	Innodb_row_lock_waits	0
r1-p10	10	pre	1788656384	mysql	Threads_connected	11
r1-p10	10	pre	1788656384	mysql	Threads_running	2
r1-p10_post	10	post	1788656393	spring	hikaricp_connections{pool="HikariPool-1"}	10.0
r1-p10_post	10	post	1788656393	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	15009
r1-p10_post	10	post	1788656393	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	41.401063936
r1-p10_post	10	post	1788656393	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	0.0988498
r1-p10_post	10	post	1788656393	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788656393	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p10_post	10	post	1788656393	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788656393	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788656393	spring	hikaricp_connections_idle{pool="HikariPool-1"}	10.0
r1-p10_post	10	post	1788656393	spring	hikaricp_connections_max{pool="HikariPool-1"}	10.0
r1-p10_post	10	post	1788656393	spring	hikaricp_connections_min{pool="HikariPool-1"}	10.0
r1-p10_post	10	post	1788656393	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788656393	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788656393	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	15009
r1-p10_post	10	post	1788656393	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	22.464
r1-p10_post	10	post	1788656393	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.073
r1-p10_post	10	post	1788656393	mysql	Innodb_row_lock_time	0
r1-p10_post	10	post	1788656393	mysql	Innodb_row_lock_waits	0
r1-p10_post	10	post	1788656393	mysql	Threads_connected	11
r1-p10_post	10	post	1788656393	mysql	Threads_running	2
r1-p12	12	pre	1788656404	spring	hikaricp_connections{pool="HikariPool-1"}	12.0
r1-p12	12	pre	1788656404	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	6
r1-p12	12	pre	1788656404	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	6.44673E-4
r1-p12	12	pre	1788656404	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	5.69926E-4
r1-p12	12	pre	1788656404	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p12	12	pre	1788656404	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p12	12	pre	1788656404	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p12	12	pre	1788656404	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p12	12	pre	1788656404	spring	hikaricp_connections_idle{pool="HikariPool-1"}	12.0
r1-p12	12	pre	1788656404	spring	hikaricp_connections_max{pool="HikariPool-1"}	12.0
r1-p12	12	pre	1788656404	spring	hikaricp_connections_min{pool="HikariPool-1"}	12.0
r1-p12	12	pre	1788656404	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p12	12	pre	1788656404	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p12	12	pre	1788656404	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	6
r1-p12	12	pre	1788656404	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	0.013
r1-p12	12	pre	1788656404	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.008
r1-p12	12	pre	1788656404	mysql	Innodb_row_lock_time	0
r1-p12	12	pre	1788656404	mysql	Innodb_row_lock_waits	0
