tag	pool	round	count	ok	fail	rps	p50_ms	p95_ms	p99_ms
r1-p10	10	r1	15000	15000	0	1632.0	36.165536	102.047097	163.583853
r1-p12	12	r1	15000	15000	0	1678.2	35.340967	92.894024	176.154588
r1-p15	15	r1	15000	15000	0	1672.3	36.775663	104.33565	161.173017
r1-p17	17	r1	15000	15000	0	1649.7	34.814071	111.308863	183.417472
r1-p20	20	r1	15000	15000	0	1617.7	43.529095	108.086671	161.048021
r2-p15	15	r2	15000	15000	0	1651.5	36.734706	107.225186	194.744075
r2-p17	17	r2	15000	15000	0	1647.4	39.430993	99.504499	160.872988
r2-p20	20	r2	15000	15000	0	1681.5	35.736412	109.727304	160.213485
r2-p10	10	r2	15000	15000	0	1676.2	36.680948	98.354992	180.143462
r2-p12	12	r2	15000	15000	0	1665.3	36.909976	99.166801	177.114994
r3-p20	20	r3	15000	15000	0	1621.9	38.328472	111.310971	172.131895
r3-p10	10	r3	15000	15000	0	1661.1	35.668983	103.871722	197.986081
r3-p12	12	r3	15000	15000	0	1653.0	35.851768	100.362467	182.463806
r3-p15	15	r3	15000	15000	0	1664.9	36.028402	99.428649	180.611607
r3-p17	17	r3	15000	15000	0	1678.3	37.010524	96.791567	173.536754
