tag	pool	phase	epoch	source	metric	value
r1-p10	10	pre	1788573199	spring	hikaricp_connections{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788573199	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	6
r1-p10	10	pre	1788573199	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	4.90739E-4
r1-p10	10	pre	1788573199	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	4.24294E-4
r1-p10	10	pre	1788573199	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788573199	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p10	10	pre	1788573199	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788573199	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788573199	spring	hikaricp_connections_idle{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788573199	spring	hikaricp_connections_max{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788573199	spring	hikaricp_connections_min{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788573199	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788573199	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788573199	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	6
r1-p10	10	pre	1788573199	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	0.014
r1-p10	10	pre	1788573199	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.01
r1-p10	10	pre	1788573199	mysql	Innodb_row_lock_time	0
r1-p10	10	pre	1788573199	mysql	Innodb_row_lock_waits	0
r1-p10	10	pre	1788573199	mysql	Threads_connected	11
r1-p10	10	pre	1788573199	mysql	Threads_running	2
r1-p10_post	10	post	1788573209	spring	hikaricp_connections{pool="HikariPool-1"}	10.0
r1-p10_post	10	post	1788573209	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	15011
r1-p10_post	10	post	1788573209	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	1.299978299
r1-p10_post	10	post	1788573209	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	0.019604898
r1-p10_post	10	post	1788573209	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788573209	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
