tag	pool	round	count	ok	fail	rps	p50_ms	p95_ms	p99_ms
r1-p10	10	r1	15000	15000	0	1911.0	27.831814	65.273071	101.404031
r1-p12	12	r1	15000	15000	0	1911.8	32.583593	64.905862	97.395176
r1-p15	15	r1	15000	15000	0	1919.9	27.861771	62.732561	92.150862
r1-p17	17	r1	15000	15000	0	1924.2	26.946474	62.259518	92.312105
r1-p20	20	r1	15000	15000	0	1916.4	26.905145	61.214582	96.743371
r2-p15	15	r2	15000	15000	0	1935.7	29.766922	61.615711	88.279124
r2-p17	17	r2	15000	15000	0	1926.1	28.543532	63.616029	91.222004
r2-p20	20	r2	15000	15000	0	1908.7	27.250219	65.242458	94.860108
r2-p10	10	r2	15000	15000	0	1921.0	28.172774	63.364963	105.432809
r2-p12	12	r2	15000	15000	0	1912.0	27.267827	64.862548	93.737122
r3-p20	20	r3	15000	15000	0	1908.2	26.75877	61.023833	96.813915
r3-p10	10	r3	15000	15000	0	1919.4	30.780462	66.398721	96.611286
r3-p12	12	r3	15000	15000	0	1926.7	28.632706	65.81954	102.481708
r3-p15	15	r3	15000	15000	0	1925.7	30.417073	65.424098	105.483008
r3-p17	17	r3	15000	15000	0	1894.4	30.573893	65.121941	103.447707
