tag	pool	round	count	ok	fail	rps	p50_ms	p95_ms	p99_ms
r1-p10	10	r1	15000	15000	0	1655.0	31.270593	70.195125	100.566593
r1-p12	12	r1	15000	15000	0	1672.7	35.059567	69.348338	103.598868
r1-p15	15	r1	15000	15000	0	1649.4	32.340704	67.56466	106.248516
r1-p17	17	r1	15000	15000	0	1646.7	31.119886	69.046135	108.347411
r1-p20	20	r1	15000	15000	0	1655.9	33.605582	68.378279	108.615122
r2-p15	15	r2	15000	15000	0	1650.6	33.639142	68.016372	99.137075
r2-p17	17	r2	15000	15000	0	1648.1	34.754808	68.415767	107.07035
r2-p20	20	r2	15000	15000	0	1641.3	30.835494	67.402322	113.604943
r2-p10	10	r2	15000	15000	0	1653.6	36.239621	69.078706	104.096995
r2-p12	12	r2	15000	15000	0	1682.1	30.510142	68.703607	97.59008
r3-p20	20	r3	15000	15000	0	1646.5	32.87432	69.19347	98.16599
r3-p10	10	r3	15000	15000	0	1589.3	31.824027	71.30592	122.607182
r3-p12	12	r3	15000	15000	0	1659.9	30.995504	67.198598	113.120641
r3-p15	15	r3	15000	15000	0	1653.2	31.230832	70.019377	112.111961
r3-p17	17	r3	15000	15000	0	1663.9	31.067927	67.295761	101.45038
