tag	pool	round	count	ok	fail	rps	p50_ms	p95_ms	p99_ms
r1-p10	10	r1	15000	15000	0	1707.6	38.836328	96.885926	160.972825
r1-p12	12	r1	15000	15000	0	1687.5	37.065849	104.135603	172.612829
r1-p15	15	r1	15000	15000	0	1723.9	37.491697	96.885812	181.32538
r1-p17	17	r1	15000	15000	0	1676.7	39.645904	97.777512	172.857174
r1-p20	20	r1	15000	15000	0	1689.2	37.46602	102.658109	173.881558
r2-p15	15	r2	15000	15000	0	1697.9	36.803953	102.073979	163.691392
r2-p17	17	r2	15000	15000	0	1696.3	36.678671	104.354031	167.288679
r2-p20	20	r2	15000	15000	0	1739.8	36.186992	95.972635	166.485378
r2-p10	10	r2	15000	15000	0	1657.7	38.942498	105.994053	169.448135
r2-p12	12	r2	15000	15000	0	1704.8	36.520097	103.383237	170.291994
r3-p20	20	r3	15000	15000	0	1696.8	34.703892	109.247282	167.596229
r3-p10	10	r3	15000	15000	0	1701.7	37.083271	103.598054	170.216677
r3-p12	12	r3	15000	15000	0	1720.8	36.32865	108.410675	168.668704
r3-p15	15	r3	15000	15000	0	1733.4	36.913348	94.676866	160.431923
r3-p17	17	r3	15000	15000	0	1696.7	37.947031	101.877557	166.990392
