tag	pool	phase	epoch	source	metric	value
r1-p10	10	pre	1788689670	spring	hikaricp_connections{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788689670	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	6
r1-p10	10	pre	1788689670	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	6.51045E-4
r1-p10	10	pre	1788689670	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	5.75321E-4
r1-p10	10	pre	1788689670	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788689670	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p10	10	pre	1788689670	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788689670	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788689670	spring	hikaricp_connections_idle{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788689670	spring	hikaricp_connections_max{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788689670	spring	hikaricp_connections_min{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788689670	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788689670	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788689670	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	6
r1-p10	10	pre	1788689670	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	0.015
r1-p10	10	pre	1788689670	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.011
r1-p10	10	pre	1788689670	mysql	Innodb_row_lock_time	0
r1-p10	10	pre	1788689670	mysql	Innodb_row_lock_waits	0
r1-p10	10	pre	1788689670	mysql	Threads_connected	11
r1-p10	10	pre	1788689670	mysql	Threads_running	2
r1-p10_post	10	post	1788689680	spring	hikaricp_connections{pool="HikariPool-1"}	10.0
r1-p10_post	10	post	1788689680	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	15009
r1-p10_post	10	post	1788689680	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	55.055971172
r1-p10_post	10	post	1788689680	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	0.103835771
r1-p10_post	10	post	1788689680	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788689680	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p10_post	10	post	1788689680	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788689680	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788689680	spring	hikaricp_connections_idle{pool="HikariPool-1"}	10.0
r1-p10_post	10	post	1788689680	spring	hikaricp_connections_max{pool="HikariPool-1"}	10.0
r1-p10_post	10	post	1788689680	spring	hikaricp_connections_min{pool="HikariPool-1"}	10.0
r1-p10_post	10	post	1788689680	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788689680	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788689680	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	15009
r1-p10_post	10	post	1788689680	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	55.076
r1-p10_post	10	post	1788689680	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.166
r1-p10_post	10	post	1788689680	mysql	Innodb_row_lock_time	0
r1-p10_post	10	post	1788689680	mysql	Innodb_row_lock_waits	0
r1-p10_post	10	post	1788689680	mysql	Threads_connected	11
r1-p10_post	10	post	1788689680	mysql	Threads_running	2
r1-p12	12	pre	1788689696	spring	hikaricp_connections{pool="HikariPool-1"}	12.0
r1-p12	12	pre	1788689696	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	6
r1-p12	12	pre	1788689696	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	6.22072E-4
r1-p12	12	pre	1788689696	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	5.48396E-4
r1-p12	12	pre	1788689696	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p12	12	pre	1788689696	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p12	12	pre	1788689696	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p12	12	pre	1788689696	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p12	12	pre	1788689696	spring	hikaricp_connections_idle{pool="HikariPool-1"}	12.0
r1-p12	12	pre	1788689696	spring	hikaricp_connections_max{pool="HikariPool-1"}	12.0
r1-p12	12	pre	1788689696	spring	hikaricp_connections_min{pool="HikariPool-1"}	12.0
r1-p12	12	pre	1788689696	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p12	12	pre	1788689696	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p12	12	pre	1788689696	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	6
r1-p12	12	pre	1788689696	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	0.016
r1-p12	12	pre	1788689696	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.01
r1-p12	12	pre	1788689696	mysql	Innodb_row_lock_time	0
r1-p12	12	pre	1788689696	mysql	Innodb_row_lock_waits	0
r1-p12	12	pre	1788689696	mysql	Threads_connected	13
r1-p12	12	pre	1788689696	mysql	Threads_running	2
r1-p12_post	12	post	1788689705	spring	hikaricp_connections{pool="HikariPool-1"}	12.0
r1-p12_post	12	post	1788689705	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	15009
