tag	pool	round	count	ok	fail	rps	p50_ms	p95_ms	p99_ms
r1-p10	10	r1	15000	15000	0	1803.1	30.866636	71.199022	113.005784
r1-p12	12	r1	15000	15000	0	1808.8	30.625667	66.921116	109.170497
r1-p15	15	r1	15000	15000	0	1813.5	29.553063	67.804046	107.069484
r1-p17	17	r1	15000	15000	0	1796.3	31.423145	68.958441	97.846607
r1-p20	20	r1	15000	15000	0	1810.9	30.159353	68.705915	107.491944
r2-p15	15	r2	15000	15000	0	1798.0	29.90362	69.332341	100.44484
r2-p17	17	r2	15000	15000	0	1796.8	29.302717	68.160143	111.111491
r2-p20	20	r2	15000	15000	0	1802.9	29.984781	69.800176	100.69087
r2-p10	10	r2	15000	15000	0	1802.6	30.342514	72.210261	108.423674
r2-p12	12	r2	15000	15000	0	1803.6	33.033857	70.836357	97.805478
r3-p20	20	r3	15000	15000	0	1801.4	31.863727	66.706211	106.785275
r3-p10	10	r3	15000	15000	0	1801.2	29.209718	70.199089	112.940664
r3-p12	12	r3	15000	15000	0	1794.2	37.800644	71.47571	110.486754
r3-p15	15	r3	15000	15000	0	1807.6	32.890181	67.657533	98.778662
r3-p17	17	r3	15000	15000	0	1795.5	29.588448	66.940981	105.237455
