tag	pool	round	count	ok	fail	rps	p50_ms	p95_ms	p99_ms
r1-p10	10	r1	15000	15000	0	1326.8	60.798029	155.084941	211.496785
r1-p12	12	r1	15000	15000	0	1392.3	49.170894	135.893896	189.228396
r1-p15	15	r1	15000	15000	0	1412.7	44.440149	123.829168	194.650792
r1-p17	17	r1	15000	15000	0	1415.0	44.257577	124.433206	190.348371
r1-p20	20	r1	15000	15000	0	1443.6	46.592703	118.556297	171.390311
r2-p15	15	r2	15000	15000	0	1430.8	44.00506	129.864249	186.988973
r2-p17	17	r2	15000	15000	0	1421.1	44.737388	119.292851	189.177094
r2-p20	20	r2	15000	15000	0	1403.1	45.424784	128.771007	198.070151
r2-p10	10	r2	15000	15000	0	1362.8	54.771767	150.189379	214.2451
r2-p12	12	r2	15000	15000	0	1431.1	43.20125	132.092435	205.717247
r3-p20	20	r3	15000	15000	0	1433.0	44.711409	119.795652	202.575421
r3-p10	10	r3	15000	15000	0	1423.2	47.832747	139.467944	216.07553
r3-p12	12	r3	15000	15000	0	1388.6	50.44376	137.425633	200.695038
r3-p15	15	r3	15000	15000	0	1434.7	47.014686	126.432102	187.545429
r3-p17	17	r3	15000	15000	0	1436.1	43.246619	125.769802	195.625155
