tag	pool	round	count	ok	fail	rps	p50_ms	p95_ms	p99_ms
r1-p10	10	r1	15000	15000	0	1517.1	42.228184	117.298676	170.697756
r1-p12	12	r1	15000	15000	0	1515.5	40.197138	113.81628	154.935857
r1-p15	15	r1	15000	15000	0	1494.9	40.427296	114.158676	173.144303
r1-p17	17	r1	15000	15000	0	1526.3	39.351483	104.390447	153.917931
r1-p20	20	r1	15000	15000	0	1489.0	40.141071	112.728683	174.134468
r2-p15	15	r2	15000	15000	0	1503.6	39.263696	114.414949	185.501624
r2-p17	17	r2	15000	15000	0	1501.1	43.086894	114.094553	170.397572
r2-p20	20	r2	15000	15000	0	1518.1	42.210511	111.382326	171.094073
r2-p10	10	r2	15000	15000	0	1465.3	40.188763	134.869484	190.54574
r2-p12	12	r2	15000	15000	0	1500.6	40.87431	113.750273	162.701405
r3-p20	20	r3	15000	15000	0	1515.9	41.591402	108.224554	154.692127
r3-p10	10	r3	15000	15000	0	1540.3	39.967932	111.597942	173.23986
r3-p12	12	r3	15000	15000	0	1502.3	39.29526	117.599856	166.397236
r3-p15	15	r3	15000	15000	0	1504.5	43.085685	107.803259	171.379939
r3-p17	17	r3	15000	15000	0	1485.8	39.861635	109.911745	168.43227
