tag	pool	phase	epoch	source	metric	value
r1-p10	10	pre	1788702759	spring	hikaricp_connections{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788702759	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	6
r1-p10	10	pre	1788702759	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	8.43184E-4
r1-p10	10	pre	1788702759	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	7.67528E-4
r1-p10	10	pre	1788702759	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788702759	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p10	10	pre	1788702759	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788702759	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788702759	spring	hikaricp_connections_idle{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788702759	spring	hikaricp_connections_max{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788702759	spring	hikaricp_connections_min{pool="HikariPool-1"}	10.0
r1-p10	10	pre	1788702759	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788702759	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p10	10	pre	1788702759	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	6
r1-p10	10	pre	1788702759	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	0.014
r1-p10	10	pre	1788702759	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.01
r1-p10	10	pre	1788702759	mysql	Innodb_row_lock_time	0
r1-p10	10	pre	1788702759	mysql	Innodb_row_lock_waits	0
r1-p10	10	pre	1788702759	mysql	Threads_connected	11
r1-p10	10	pre	1788702759	mysql	Threads_running	2
r1-p10_post	10	post	1788702769	spring	hikaricp_connections{pool="HikariPool-1"}	10.0
r1-p10_post	10	post	1788702769	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	15013
r1-p10_post	10	post	1788702769	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	208.094495594
r1-p10_post	10	post	1788702769	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	0.237113773
r1-p10_post	10	post	1788702769	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788702769	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p10_post	10	post	1788702769	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788702769	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788702769	spring	hikaricp_connections_idle{pool="HikariPool-1"}	10.0
r1-p10_post	10	post	1788702769	spring	hikaricp_connections_max{pool="HikariPool-1"}	10.0
r1-p10_post	10	post	1788702769	spring	hikaricp_connections_min{pool="HikariPool-1"}	10.0
r1-p10_post	10	post	1788702769	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788702769	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p10_post	10	post	1788702769	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	15013
r1-p10_post	10	post	1788702769	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	63.242
r1-p10_post	10	post	1788702769	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.088
r1-p10_post	10	post	1788702769	mysql	Innodb_row_lock_time	0
r1-p10_post	10	post	1788702769	mysql	Innodb_row_lock_waits	0
r1-p10_post	10	post	1788702769	mysql	Threads_connected	11
r1-p10_post	10	post	1788702769	mysql	Threads_running	2
r1-p12	12	pre	1788702783	spring	hikaricp_connections{pool="HikariPool-1"}	12.0
r1-p12	12	pre	1788702783	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	6
r1-p12	12	pre	1788702783	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	9.20568E-4
