block	order	pos	arm	target	ms
1	C→H	1	C	pclean	12.8
1	C→H	2	H	pholed	17.6
2	H→C	1	H	pholed	34.9
2	H→C	2	C	pclean	15.2
3	C→H	1	C	pclean	19.3
3	C→H	2	H	pholed	16.9
4	H→C	1	H	pholed	16.9
4	H→C	2	C	pclean	16.0
5	C→H	1	C	pclean	15.6
5	C→H	2	H	pholed	18.1
6	H→C	1	H	pholed	16.9
6	H→C	2	C	pclean	17.3
7	C→H	1	C	pclean	16.2
7	C→H	2	H	pholed	27.4
8	H→C	1	H	pholed	15.2
8	H→C	2	C	pclean	17.2
9	C→H	1	C	pclean	15.7
9	C→H	2	H	pholed	17.5
10	H→C	1	H	pholed	15.5
10	H→C	2	C	pclean	17.7
11	C→H	1	C	pclean	16.2
11	C→H	2	H	pholed	17.0
12	H→C	1	H	pholed	18.2
12	H→C	2	C	pclean	17.6
13	C→H	1	C	pclean	19.2
13	C→H	2	H	pholed	16.2
14	H→C	1	H	pholed	17.8
14	H→C	2	C	pclean	17.4
15	C→H	1	C	pclean	17.1
15	C→H	2	H	pholed	18.2
16	H→C	1	H	pholed	17.9
16	H→C	2	C	pclean	15.6
17	C→H	1	C	pclean	18.1
17	C→H	2	H	pholed	18.3
18	H→C	1	H	pholed	16.4
18	H→C	2	C	pclean	18.1
19	C→H	1	C	pclean	15.0
19	C→H	2	H	pholed	15.7
20	H→C	1	H	pholed	15.9
20	H→C	2	C	pclean	17.0
21	C→H	1	C	pclean	17.1
21	C→H	2	H	pholed	18.0
22	H→C	1	H	pholed	16.8
22	H→C	2	C	pclean	15.4
23	C→H	1	C	pclean	17.0
23	C→H	2	H	pholed	18.2
24	H→C	1	H	pholed	18.3
24	H→C	2	C	pclean	17.1
25	C→H	1	C	pclean	16.6
25	C→H	2	H	pholed	17.4
26	H→C	1	H	pholed	15.6
26	H→C	2	C	pclean	17.0
27	C→H	1	C	pclean	16.9
27	C→H	2	H	pholed	16.9
28	H→C	1	H	pholed	17.0
28	H→C	2	C	pclean	18.6
29	C→H	1	C	pclean	17.1
29	C→H	2	H	pholed	16.7
30	H→C	1	H	pholed	17.2
30	H→C	2	C	pclean	16.9
31	C→H	1	C	pclean	17.4
31	C→H	2	H	pholed	17.1
32	H→C	1	H	pholed	18.0
32	H→C	2	C	pclean	16.9
33	C→H	1	C	pclean	18.3
33	C→H	2	H	pholed	16.1
34	H→C	1	H	pholed	16.8
34	H→C	2	C	pclean	16.9
35	C→H	1	C	pclean	15.3
35	C→H	2	H	pholed	16.1
