# MySQL 8.0.46 · W=8 I=40 R=25 · 블록 4(첫 블록 버림)
# block order arm deadlocks attempts other_errors final_rows
0 0 base 165 320 0 200
0 1 read_committed 0 320 0 200
0 2 natural_pk 0 320 0 200
0 3 natural_pk_keep_id 0 320 0 200
1 0 read_committed 0 320 0 200
1 1 natural_pk 0 320 0 200
1 2 natural_pk_keep_id 0 320 0 200
1 3 base 155 320 0 200
2 0 natural_pk 0 320 0 200
2 1 natural_pk_keep_id 0 320 0 200
2 2 base 147 320 0 200
2 3 read_committed 0 320 0 200
3 0 natural_pk_keep_id 0 320 0 200
3 1 base 129 320 0 200
3 2 read_committed 0 320 0 200
3 3 natural_pk 0 320 0 200
