block	arm	c	slot	started_at	wall_s	k6_rc	cpu_backend_before	cpu_ai_before	cpu_nginx_before	cpu_mysql_before	cpu_backend_after	cpu_ai_after	cpu_nginx_after	cpu_mysql_after	cb_before	cb_after	restarts_before	restarts_after
1	grpc	1	0	2026-09-14T07:59:02Z	15.291	0	44687204	15269649	244822	9857657	60599100	24077991	261376	11703804	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
1	webclient-native	1	1	2026-09-14T08:00:14Z	19.836	0	46438248	30190551	642615	13007465	63881642	41428576	1328541	14905759	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
2	webclient-native	1	2	2026-09-14T08:01:28Z	20.331	0	45534001	47546686	1701999	16254374	63465947	59056303	2389605	18211750	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
2	grpc	1	3	2026-09-14T08:02:45Z	15.367	0	45750074	64149340	2405870	19475039	61621370	72995869	2421793	21329785	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
3	grpc	1	4	2026-09-14T08:03:50Z	15.642	0	45147726	77958485	2437898	22573464	61116186	86947481	2453675	24418761	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
3	webclient-native	1	5	2026-09-14T08:04:58Z	20.531	0	45428374	93167250	2818764	25703489	62857282	104725434	3521334	27724212	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
4	webclient-native	1	6	2026-09-14T08:06:17Z	20.159	0	45729909	111061186	3897981	29053714	63308347	122450942	4592879	31006987	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
4	grpc	1	7	2026-09-14T08:07:34Z	15.382	0	46087938	127534615	4609052	32260032	62138201	136498177	4625444	34128795	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
5	grpc	1	8	2026-09-14T08:08:44Z	15.637	0	45709203	141571804	4641572	35372757	61041785	150604206	4657882	37245353	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
5	webclient-native	1	9	2026-09-14T08:09:56Z	20.048	0	46087314	156817802	5039922	38532165	62658221	168265982	5735943	40499417	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
